#  file: rfProjStatus2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, code_on_page, date_collected, datasource_id
#  FROM rf_project_status
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
ajax-grid	10	Beta	2010-05-04 12:53:48	219
ajaxscaffold	11	Production/Stable	2010-05-04 12:53:48	219
aka	11	Production/Stable	2010-05-04 12:53:48	219
akiba	8	Pre-Alpha	2010-05-04 12:53:48	219
akisu	9	Alpha	2010-05-04 12:53:48	219
alacarte	9	Alpha	2010-05-04 12:53:48	219
alexandria	10	Beta	2010-05-04 12:53:48	219
algorithms	9	Alpha	2010-05-04 12:53:48	219
allegro4r	8	Pre-Alpha	2010-05-04 12:53:48	219
allinoneruby	11	Production/Stable	2010-05-04 12:53:48	219
alogr	8	Pre-Alpha	2010-05-04 12:53:48	219
alph	9	Alpha	2010-05-04 12:53:48	219
alphabar	9	Alpha	2010-05-04 12:53:48	219
alumina	7	Planning	2010-05-04 12:53:48	219
alumnionrails	11	Production/Stable	2010-05-04 12:53:48	219
aman	7	Planning	2010-05-04 12:53:48	219
amatch	10	Beta	2010-05-04 12:53:48	219
amazing	8	Pre-Alpha	2010-05-04 12:53:48	219
amazon	11	Production/Stable	2010-05-04 12:53:48	219
amazon-ec2	11	Production/Stable	2010-05-04 12:53:48	219
amazon-fps-ruby	11	Production/Stable	2010-05-04 12:53:48	219
amber	10	Beta	2010-05-04 12:53:48	219
ambient	10	Beta	2010-05-04 12:53:48	219
ambling	10	Beta	2010-05-04 12:53:48	219
amf4r	9	Alpha	2010-05-04 12:53:49	219
amfc	7	Planning	2010-05-04 12:53:49	219
amqp	10	Beta	2010-05-04 12:53:49	219
amused	7	Planning	2010-05-04 12:53:49	219
analogger	10	Beta	2010-05-04 12:53:49	219
andrewid	7	Planning	2010-05-04 12:53:49	219
anemone	10	Beta	2010-05-04 12:53:49	219
angelmap	11	Production/Stable	2010-05-04 12:53:49	219
annotate-models	10	Beta	2010-05-04 12:53:49	219
annttrainer	10	Beta	2010-05-04 12:53:49	219
ansi-sys	10	Beta	2010-05-04 12:53:49	219
antbuilder	9	Alpha	2010-05-04 12:53:49	219
anteater	8	Pre-Alpha	2010-05-04 12:53:49	219
anthill	9	Alpha	2010-05-04 12:53:49	219
anthilldiameter	9	Alpha	2010-05-04 12:53:49	219
anthillsmpp	9	Alpha	2010-05-04 12:53:49	219
antlr3	10	Beta	2010-05-04 12:53:49	219
antwrap	10	Beta	2010-05-04 12:53:49	219
anvil	9	Alpha	2010-05-04 12:53:49	219
ap4r	9	Alpha	2010-05-04 12:53:49	219
apacheconf	10	Beta	2010-05-04 12:53:49	219
apachelogregex	9	Alpha	2010-05-04 12:53:49	219
apetag	10	Beta	2010-05-04 12:53:49	219
api	10	Beta	2010-05-04 12:53:49	219
apl	8	Pre-Alpha	2010-05-04 12:53:49	219
aplo	11	Production/Stable	2010-05-04 12:53:49	219
apotomo	9	Alpha	2010-05-04 12:53:49	219
app-profiler	9	Alpha	2010-05-04 12:53:49	219
appconfig	10	Beta	2010-05-04 12:53:49	219
