#  file: fsfProjectRelated2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.related_project_name, pi.datasource_id 
#  FROM fsf_project_related pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.related_project_name
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	related_project_name	datasource_id
3910	aewm	Blackbox	221
3910	aewm	cwm	221
3910	aewm	Fluxbox	221
3910	aewm	Flwm	221
3910	aewm	FramebufferUI	221
3910	aewm	GNUstep	221
3910	aewm	Icewm	221
3910	aewm	lwm	221
3910	aewm	Microscopic Window Manager 	221
3910	aewm	Oroborus Window Manager	221
3910	aewm	Puto Amo	221
3910	aewm	Pwm	221
3910	aewm	Ratpoison	221
3910	aewm	Small Window Manager	221
3910	aewm	WindowLab	221
3906	afick	afick-Webmin	221
3906	afick	AIDE	221
3906	afick	EICS	221
3907	afick-Webmin	afick	221
5280	AFR	atheism	221
5279	AFT	deplate	221
5279	AFT	outl	221
5279	AFT	regexxer	221
5279	AFT	replace	221
5254	AfterStep	AfterStep Clock Applet	221
5254	AfterStep	GNUstep	221
5253	AfterStepclockapplet	AfterStep	221
5253	AfterStepclockapplet	BClock	221
5594	aftp	Alexis Makes (amake)	221
3902	agendaroids	asteroids3D	221
3902	agendaroids	Vectoroids	221
5751	agide	Aap	221
3901	agnostos	2do	221
3901	agnostos	nTodo	221
3901	agnostos	Odot	221
3901	agnostos	Tdl	221
3901	agnostos	To-Do	221
3901	agnostos	todolist.php	221
5278	AGT	ferm	221
5278	AGT	iptables	221
5278	AGT	Knetfilter	221
5278	AGT	PCXFirewall	221
5278	AGT	XFwall	221
5396	ah3	PostgreSQL	221
3900	aide	afick	221
3900	aide	incident.pl	221
3900	aide	mod_security	221
3900	aide	RFC	221
3900	aide	scanlogd	221
3900	aide	Tiger	221
5252	AirTraffic	GL-117	221
5252	AirTraffic	KFLog	221
5277	AKFQuiz	Spotter	221
3894	akregator	feedparser	221
3894	akregator	NewsFeed	221
3894	akregator	rawdog	221
3891	aldo	cwdaemon	221
3891	aldo	cwtext	221
3891	aldo	Ham Radio Control Libraries	221
3891	aldo	xlog	221
3890	ale	change	221
3890	ale	Diakonos	221
3890	ale	joe	221
3890	ale	Ne	221
3890	ale	PE	221
3890	ale	Phase	221
3888	alexandria	Bibshelf	221
3888	alexandria	Bookcase	221
3888	alexandria	PhpMyLibrary	221
3888	alexandria	Tellico	221
3887	alfandega	Bulldog Firewall	221
3887	alfandega	Fireflier 	221
3887	alfandega	Lutel Firewall	221
3887	alfandega	PCXFirewall	221
3887	alfandega	Quicktables	221
3887	alfandega	Shoreline Firewall	221
3887	alfandega	Turtle Firewall	221
3887	alfandega	Zorp 	221
5251	Algol68G	cim 	221
5251	Algol68G	marst	221
3886	aliaslu	eSAV	221
3885	alien	ara	221
3885	alien	debfoster	221
3885	alien	DebSync	221
3885	alien	gslapt-get	221
3882	alist	Cfengine	221
3882	alist	Nagios	221
5250	AllCommerce	BananaPos	221
5250	AllCommerce	closedShop	221
5250	AllCommerce	Interchange	221
5250	AllCommerce	PILA	221
3880	allegro	Clanlib	221
3880	allegro	Gambit	221
3880	allegro	Plib	221
3880	allegro	SDL	221
3879	alliance	Atlc	221
3879	alliance	PCB	221
3879	alliance	PythonCAD	221
3879	alliance	QCad - Community Edition	221
3877	almclk	KAlarm	221
3877	almclk	WMTimer	221
5875	alsadriver	ALSA library	221
5875	alsadriver	ALSA OSS	221
5875	alsadriver	ALSA plugins	221
5875	alsadriver	ALSA tools	221
5877	alsalib	ALSA driver	221
5877	alsalib	ALSA OSS	221
5877	alsalib	ALSA plugins	221
5877	alsalib	ALSA tools	221
5880	alsaoss	ALSA driver	221
5880	alsaoss	ALSA library	221
5880	alsaoss	ALSA plugins	221
5880	alsaoss	ALSA tools	221
5880	alsaoss	ALSA utilities	221
5876	alsaplugins	ALSA driver	221
5876	alsaplugins	ALSA library	221
5876	alsaplugins	ALSA OSS	221
5876	alsaplugins	ALSA tools	221
5879	alsatools	ALSA driver	221
5879	alsatools	ALSA library	221
5879	alsatools	ALSA OSS	221
5879	alsatools	ALSA plugins	221
5879	alsatools	ALSA utilities	221
5878	alsautils	ALSA OSS	221
5878	alsautils	ALSA tools	221
3872	alterMIME	AMaViS-ng	221
5761	alterparagraphs	ReportLab	221
5595	amake	Alexis FTP (aftp)	221
3868	amanda	bacula	221
3868	amanda	RVM	221
3868	amanda	Tapeback	221
3868	amanda	Taper 	221
3868	amanda	Zmanda Recovery Manager	221
3867	amaroK	emms	221
3867	amaroK	GStreamer-Editor	221
3867	amaroK	K3b	221
5275	AMaViS	alterMIME	221
5275	AMaViS	amavisd-new	221
5275	AMaViS	PyMaViS	221
5275	AMaViS	Renattach	221
3866	amavisd-new	AMaViS-ng	221
3866	amavisd-new	PyMaViS	221
3865	amaya	Dillo 	221
3865	amaya	Galeon	221
3865	amaya	GNUscape navigator	221
3865	amaya	Konqueror	221
3865	amaya	Mozilla	221
3865	amaya	Multivalent Browser	221
3864	amber	jMusic	221
3863	ambinding	Ada Components	221
3863	ambinding	AdaDoc	221
3863	ambinding	AdaSockets	221
3863	ambinding	AdaUnits	221
3863	ambinding	GNADE	221
3863	ambinding	GNAT	221
3863	ambinding	GtkAda 	221
3863	ambinding	ImgSvr	221
3863	ambinding	Intervals	221
5315	ambisuite	Audacity	221
5315	ambisuite	Perl 	221
5315	ambisuite	Sox	221
3862	ampache	BoPHP	221
3862	ampache	Gronk	221
3862	ampache	phpMp	221
5248	AmphetaDesk	Blam	221
5248	AmphetaDesk	Brag	221
5248	AmphetaDesk	FeedCreator	221
5248	AmphetaDesk	InstantRSS	221
5248	AmphetaDesk	NewsFeed	221
5248	AmphetaDesk	Newspost	221
5248	AmphetaDesk	nntp2rss	221
5248	AmphetaDesk	rawdog	221
