#  file: owProjectInfo2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, url, date_registered, proj_long_name, proj_id_num, 
#  activity_percentile, dev_count, date_collected, datasource_id
#  FROM ow_projects
#  WHERE datasource_id=220
#  ORDER BY proj_unixname;
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	url	date_registered	proj_long_name	proj_id_num	dev_count	date_collected	datasource_id
jac	http://forge.objectweb.org/projects/jac	2003-06-02 17:12:00	Java Aspect Components	73	3	NULL	220
jasmine	http://forge.objectweb.org/projects/jasmine	2006-11-08 12:51:00	JASMINe	282	34	NULL	220
jaspte	http://forge.objectweb.org/projects/jaspte	2009-03-04 04:09:00	Bench4Q	345	2	NULL	220
javaservice	http://forge.objectweb.org/projects/javaservice	2004-07-18 11:52:00	JavaService	137	1	NULL	220
jawe	http://forge.objectweb.org/projects/jawe	2003-01-18 07:14:00	Enhydra JaWE	50	1	NULL	220
jeffree	http://forge.objectweb.org/projects/jeffree	2002-12-16 09:22:00	JEFFREE	46	2	NULL	220
jmimetypelib	http://forge.objectweb.org/projects/jmimetypelib	2006-03-27 17:00:00	jMimetypeLib	250	1	NULL	220
jnetcontrol	http://forge.objectweb.org/projects/jnetcontrol	2006-04-24 22:47:00	JNetControl	255	1	NULL	220
jonas-doc	http://forge.objectweb.org/projects/jonas-doc	2003-10-23 14:10:00	JOnAS Documentation	85	43	NULL	220
jonathan	http://forge.objectweb.org/projects/jonathan	2002-03-29 15:39:00	Jonathan	9	9	NULL	220
joram	http://forge.objectweb.org/projects/joram	2002-03-28 11:35:00	JORAM	4	6	NULL	220
jorm	http://forge.objectweb.org/projects/jorm	2002-03-28 16:12:00	JORM	6	8	NULL	220
jotm	http://forge.objectweb.org/projects/jotm	2002-04-12 10:19:00	JOTM	19	12	NULL	220
jsurvey	http://forge.objectweb.org/projects/jsurvey	2002-09-11 15:38:00	JSurvey	38	2	NULL	220
jwtgen	http://forge.objectweb.org/projects/jwtgen	2006-10-19 15:53:00	JWTGen	278	4	NULL	220
kelly	http://forge.objectweb.org/projects/kelly	2003-04-24 10:38:00	Kelly	69	4	NULL	220
kelp	http://forge.objectweb.org/projects/kelp	2002-08-26 08:16:00	Enhydra Kelp	30	1	NULL	220
kilim	http://forge.objectweb.org/projects/kilim	2002-07-24 16:56:00	Kilim	24	7	NULL	220
kilim2	http://forge.objectweb.org/projects/kilim2	2003-03-04 19:28:00	Kilim 2	58	2	NULL	220
lemonldap	http://forge.objectweb.org/projects/lemonldap	2006-09-28 12:43:00	LemonLDAP::NG	274	3	NULL	220
lewys	http://forge.objectweb.org/projects/lewys	2004-04-05 18:30:00	LeWYS	122	15	NULL	220
lomboz	http://forge.objectweb.org/projects/lomboz	2003-12-13 12:40:00	Lomboz	97	9	NULL	220
massiv	http://forge.objectweb.org/projects/massiv	2004-09-18 12:05:00	Massiv, a MMO middleware	149	3	NULL	220
maven	http://forge.objectweb.org/projects/maven	2005-05-04 12:43:00	ObjectWeb's Maven Repository	189	68	NULL	220
medor	http://forge.objectweb.org/projects/medor	2002-12-03 17:46:00	MEDOR	43	12	NULL	220
mesh	http://forge.objectweb.org/projects/mesh	2006-06-16 16:17:00	Mesh	261	1	NULL	220
mind	http://forge.objectweb.org/projects/mind	2010-01-11 10:33:00	MIND	375	21	NULL	220
modfact	http://forge.objectweb.org/projects/modfact	2003-09-15 11:30:00	ModFact	77	13	NULL	220
monolog	http://forge.objectweb.org/projects/monolog	2002-11-13 13:30:00	Monolog	41	9	NULL	220
navilis	http://forge.objectweb.org/projects/navilis	2005-08-02 10:17:00	Xcalia NAViLIS	215	1	NULL	220
newsadmin	http://forge.objectweb.org/projects/newsadmin	1970-01-01 01:00:00	Site News Admin	2	5	NULL	220
noah	http://forge.objectweb.org/projects/noah	2003-07-22 15:59:00	noah	75	2	NULL	220
objectweb-zh	http://forge.objectweb.org/projects/objectweb-zh	2003-05-29 09:14:00	ObjectWeb Chinese Project	71	8	NULL	220
ocelot	http://forge.objectweb.org/projects/ocelot	2009-02-06 00:35:00	OCELOT	344	1	NULL	220
octopus	http://forge.objectweb.org/projects/octopus	2002-09-28 10:34:00	Enhydra Octopus	39	1	NULL	220
odis	http://forge.objectweb.org/projects/odis	2009-04-05 11:57:00	ODIS	349	7	NULL	220
ofccharts	http://forge.objectweb.org/projects/ofccharts	2006-04-06 10:29:00	OFC Charts	253	1	NULL	220
oncepi	http://forge.objectweb.org/projects/oncepi	2006-08-18 08:20:00	OncePI	269	2	NULL	220
oncess	http://forge.objectweb.org/projects/oncess	2009-11-08 11:47:00	OnceSS	364	1	NULL	220
opalval	http://forge.objectweb.org/projects/opalval	2008-02-22 10:56:00	Opal Validation	320	6	NULL	220
openediint	http://forge.objectweb.org/projects/openediint	2005-07-06 15:17:00	Open EDIINT	210	2	NULL	220
openmobileis	http://forge.objectweb.org/projects/openmobileis	2005-02-04 14:14:00	Open Mobile IS	175	5	NULL	220
ops	http://forge.objectweb.org/projects/ops	2005-01-07 10:08:00	Orbeon Forms	168	5	NULL	220
orchestra	http://forge.objectweb.org/projects/orchestra	2006-08-01 18:08:00	Orchestra	266	16	NULL	220
orientwareccm	http://forge.objectweb.org/projects/orientwareccm	2006-03-27 09:08:00	OrientwareCCM	248	1	NULL	220
osa-interop	http://forge.objectweb.org/projects/osa-interop	2010-01-26 20:52:00	OSA CCV Project	376	1	NULL	220
oslcv3	http://forge.objectweb.org/projects/oslcv3	2008-10-16 20:12:00	Open Source License Checker v3.0	330	12	NULL	220
ow2appliances	http://forge.objectweb.org/projects/ow2appliances	2010-04-08 14:48:00	OW2 Appliances	379	4	NULL	220
oyster	http://forge.objectweb.org/projects/oyster	2004-02-08 10:48:00	Enhydra Oyster	110	1	NULL	220
paje	http://forge.objectweb.org/projects/paje	2004-10-26 15:04:00	Pajé visualization tool	157	6	NULL	220
pangu	http://forge.objectweb.org/projects/pangu	2009-09-12 03:52:00	PanGu:A Pervasive Computing Platform	359	1	NULL	220
pargres	http://forge.objectweb.org/projects/pargres	2005-11-03 22:40:00	ParGRES - a database cluster	229	9	NULL	220
perseus	http://forge.objectweb.org/projects/perseus	2003-01-31 16:44:00	Perseus	53	8	NULL	220
petals	http://forge.objectweb.org/projects/petals	2005-07-10 15:30:00	Petals ESB	213	28	NULL	220
petalsmaster	http://forge.objectweb.org/projects/petalsmaster	2008-11-25 17:15:00	Petals Master	335	10	NULL	220
pkuas	http://forge.objectweb.org/projects/pkuas	2006-03-24 10:14:00	JOnAS PKU prototype	247	11	NULL	220
polyorb	http://forge.objectweb.org/projects/polyorb	2004-04-18 19:39:00	PolyORB	125	4	NULL	220
rfid	http://forge.objectweb.org/projects/rfid	2004-11-29 08:13:00	RFID middleware	164	3	NULL	220
