#  file: sfRawTracker2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes tracker data for each project. This info 
#  is summed based on the daily tracker data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT  proj_unixname, sum(tracker_opened), sum(tracker_closed)
#  FROM project_statistics_60 
#  WHERE datasource_id=172  
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  tracker opened: the sum of all opened tracker items for this 60-day period 
#  tracker closed: the sum of all closed tracker items for this 60-day period
proj_unixname	sum(tracker_opened)	sum(tracker_closed)
arcticsalmonwc	0	0
arctos	0	0
arctracker	0	0
arcturus	0	0
arcturusproject	0	0
arcus	0	0
arcus-judge	0	0
arcuus	0	0
arcvendors	0	0
arcwayback	0	0
arcxmlapi	0	0
ard	0	0
ardanet	0	0
ardato	0	0
arde	0	0
ardentryst	0	0
ardev	0	0
ardiag	0	0
ardome-ml	0	0
ardonril	0	0
ardos	0	0
ardour	0	0
ardp	0	0
arduino	0	0
arduinodualstep	0	0
arduinome	0	0
arduinomeseries	0	0
arduinomodularg	0	0
arduinorcl	0	0
arduinowiznetse	0	0
ardupilot	0	0
are	0	0
area2048	0	0
area51	0	0
area51cms	0	0
areaandvolume	0	0
areacalc	0	0
areader	0	0
areaj	0	0
areaone	0	0
areasteroids	0	0
areath	0	0
areca-amazon-s3	1	1
arecacifsplugin	0	0
arecorlib	0	0
aredfwk	0	0
arei	0	0
arel-2006	0	0
arena	0	0
arena-2002-lt	0	0
arena-py	0	0
arena2	0	0
arenable	0	0
arenacalculator	0	0
arenachallenge	0	0
arenaforum	0	0
arenaframework	0	0
arenainf312	0	0
arenaj	0	0
arenajme	0	0
arenalauncher	0	0
arenamaster	0	0
arenamm	0	0
arenaocg	0	0
arenaonline	0	0
arenarpg	NULL	NULL
arenawatcher	NULL	NULL
arenax	0	0
arendaine-bcv	0	0
arep	0	0
arepf	0	0
ares	0	0
ares-engine	0	0
ares-engine2	0	0
ares2005	0	0
arescode2008	0	0
arescrypt	0	0
aresdms	0	0
aresera	0	0
aresfacer	0	0
aresfps	0	0
aresgalaxy	6	0
aresource	0	0
aresplanner	0	0
arespro	0	0
aresvista	0	0
aresx	0	0
arete	0	0
arex	0	0
areyouopen	0	0
areyouyou	0	0
arf	0	0
arfgames	0	0
arftp	0	0
arfy	0	0
arg	0	0
argante	0	0
argaut-xdbaudit	0	0
argbtexttoimage	0	0
arge	0	0
argeebee	0	0
argenerator	0	0
argenplayer	0	0
argentium	0	0
argentos	0	0
argentum	0	0
argentumania	0	0
argestion	0	0
argh	0	0
arghcom	0	0
arghelper	0	0
arghfx	0	0
arghwxhaskell	0	0
argil	0	0
argiope	0	0
argirc	0	0
argis	0	0
argjaba	0	0
argmax	0	0
argo	0	0
argo-sdl	0	0
argo2ecore	0	0
argolog	0	0
argon	0	0
argon-lite	0	0
argon-ps2	0	0
argonaute	0	0
argonswitcher	0	0
argonwin	0	0
argoomap	0	0
argopanoptes	0	0
argopt	0	0
argorha	0	0
argos	0	0
argos-viewpoint	0	0
argosamp	0	0
argosboard	0	0
argosfields	0	0
argosmule	0	0
argosparser	0	0
argotool	0	0
argouml	0	0
argox-pt	0	0
argrim	0	0
args4j	0	0
args4net	0	0
argtable	0	0
argui	0	0
argument	0	0
argumentative	4	2
argumentdotnet	0	0
argumentor	0	0
argunet	0	0
argunpx	0	0
argus	0	0
argus-socket	0	0
argus-tracker	0	0
argus3d	0	0
arguscodewatch	0	0
argusfs	0	0
argusjmx	0	0
argusmonitor	0	0
argusproxy	0	0
arguvision	0	0
argyle	0	0
arh-gpl-auction	0	0
arhb	0	0
arhive	0	0
ari	0	0
ari-yahoo	0	0
aria	0	0
aria-cms	0	0
aria-rpm	0	0
aria2	26	21
aria25	0	0
aria2fe	0	0
ariadne	0	0
ariadnekps	0	0
ariado	0	0
ariaengine	0	0
ariamaestosa	0	0
ariane	0	0
arianespace	0	0
arianne	90	100
ariasmedical	0	0
aribaweb	0	0
aricom	0	0
arid	0	0
aridb	0	0
ariel	0	0
arielbot	0	0
arielcluster	0	0
arienetworks	0	0
aries	0	0
aries-sf	0	0
ariesbot	0	0
ariesfoxserver	0	0
ariesfw	0	0
ariesproject	2	1
arihuaopen	0	0
arimaa	0	0
arinba	0	0
arinuke	0	0
ario	0	0
ario-player	14	12
arip	0	0
aris	0	0
arisa	0	0
arise	0	0
ariseengine	0	0
arishka	0	0
arista	0	0
aristede	0	0
aristosim	0	0
aristoteles3d	0	0
aristotest1	0	0
aristotle	0	0
arithdrill	0	0
arithmetictest	3	2
arithopwbit	0	0
aritsa	0	0
arius	0	0
ariweb	0	0
arix	0	0
ariza	0	0
arj	0	0
arjava	0	0
arjuna	0	0
ark	0	0
ark-rpg	0	0
ark3d	0	0
ark7	0	0
arkade	0	0
arkadianalysis	0	0
arkadios	0	0
arkalaga	0	0
arkana-fts	0	0
arkania	0	0
arkanoidpp	0	0
arkanoidvspong	0	0
arkantos	0	0
arkaplan	0	0
arkathon	0	0
arkdb	0	0
arkengine	0	0
arketype	0	0
arkhamrpg	0	0
arkidb	0	0
arkjave	0	0
arkon	0	0
arksnd	0	0
arksndkit	0	0
arktosfms	0	0
arkwaf	0	0
arkwinrestgui	0	0
arkworld	0	0
arkyve	0	0
arlinux	0	0
arlisy	0	0
arlogo	0	0
arls	0	0
arm	0	0
arm-dis	0	0
arm-emu	0	0
arm-mingw	0	0
arm-std-mpk	0	0
arm0nia	0	0
arm4	0	0
arm7	0	0
arm7eval	0	0
arm9core	0	0
arma	0	0
armabell	0	0
armada	0	0
armada2modscont	0	0
armadalinux	0	0
armadex	0	0
armadillo	0	0
armagedon	0	0
armagetron	0	0
armagetronad	1	2
armalyte	0	0
armandch	0	0
armarius	0	0
armawinampplugi	0	0
armbanks	0	0
armcontrol	0	0
armdatatools	0	0
armdesk	0	0
armed	0	0
armedassault	0	0
armedbear-j	8	6
armediagmap	0	0
armediaincident	0	0
armelot	0	0
armgdpfclnr	0	0
armhypervisor	0	0
armi	0	0
armic	0	0
armidale	0	0
armies	0	0
armiesofmeador	0	0
armiger	0	0
armixshopengine	0	0
armlinux	0	0
armlinuxgcc	0	0
armodule	0	0
armonia	0	0
armonipad	0	0
armor	0	0
armory	0	0
armoryinterface	0	0
armoury	0	0
armphetamine	0	0
armpit	0	0
armr	0	0
arms	0	0
arms-17799	0	0
arms-cms	0	0
arms-waot	0	0
armsim	0	0
armsofarcanum	0	0
armspell	0	0
armsrc	0	0
armstrong	0	0
armtomips	0	0
armts	0	0
armutils	0	0
armycreationset	0	0
armygenereal	0	0
armyofone	0	0
armzonline	0	0
arnacaw	0	0
arnaudopopper	0	0
arnie	0	0
arniom	0	0
arnmusicmanager	0	0
arnold	0	0
arnux	0	0
aroana	0	0
arog	0	0
arogya	0	0
arohadictionary	0	0
aroma	0	0
aronmatlab	0	0
arooba	0	0
arora	0	0
aros	5	1
aros-games	0	0
aros-stuff	0	0
arosgcj	0	0
aroundme	0	0
aroundmei	0	0
aroundmepi	0	0
arow-crm	0	0
arp-blackhole	0	0
arpa	0	0
arpassess	0	0
arpdig	0	0
arpe	0	0
arpflush	0	0
arpguard	0	0
arpi	0	0
arpix	0	0
arplogd	0	0
arpm	0	0
arpmats	0	0
arpmbuilder	0	0
arpo	0	0
arpoison	0	0
arpon	0	0
arppersonalfire	0	0
arprelease	0	0
arprobe	0	0
arps	0	0
arpsarge	0	0
arpscannet	0	0
arpsentry	0	0
arpsite	0	0
arpskill	0	0
arpsnoop	0	0
arpspoof	0	0
arpstar	0	0
arpsweep	0	0
arptable	0	0
arptk	0	0
arpwall	0	0
arpwatchnotifie	0	0
arqass	0	0
arqkey	0	0
arqlib	0	0
arrakis	0	0
arran4	0	0
arrange	0	0
arrange-rowing	0	0
arrangebypenis	0	0
arrangemaillog	0	0
arrangement	0	0
array	0	0
array-each	0	0
array-info	0	0
array-sort	0	0
array2net	0	0
array30	0	0
arraybot	0	0
arraycghdb	0	0
arraydisk	0	0
arrayexpress	0	0
arrayfusion	0	0
arrayoligosel	0	0
arraypipeline	0	0
arrayplex	0	0
arraysearch	0	0
arrea	0	0
arrels	0	0
arreog	0	0
arrf	0	0
arrgh	0	0
arrim	0	0
arroba	0	0
arrow	0	0
arrow-btsp	0	0
arrowbase	0	0
arrowheadasp	0	0
arrowmatcher	0	0
arrows	0	0
arroyo	0	0
arrsync	0	0
ars	0	0
ars-framework	0	0
ars-ive	0	0
ars-machina	0	0
ars-testbench	0	0
ars4sdlnft	0	0
arsautomation	0	0
arsc	0	0
arscel	0	0
arschange	0	0
arschloch3d	0	0
arschlochen	0	0
arsclientje	0	0
arsdevtoolkit	0	0
arsdoc	0	0
arse	0	0
arsecondlife	0	0
arsenal	0	0
arsenal-1	0	0
arsenalparser	0	0
arsenickisscmd	0	0
arsenolite	0	0
arsfree	0	0
arshifi	0	0
arsivindir	0	0
arsixsigma	0	0
arslab	0	0
arsobjhistory	0	0
arson	17	0
arsperl	0	0
arsplugins	0	0
arss	0	0
art	0	0
art-data	0	0
art-life	0	0
art-linux	0	0
art-quizer	0	0
art-testbed	0	0
art0	0	0
art23firebird	0	0
artabroxestion	0	0
artade	0	0
artamis	0	0
artanis	0	0
artaxias	0	0
artcavahtml	0	0
artcol	0	0
artcult	0	0
artdecocms	0	0
artdream	0	0
arte	0	0
artebin	0	0
artec	0	0
arteduca	0	0
artemis	0	0
artemis-fh	0	0
artemiscache	0	0
artemisproject	0	0
artemisvote	0	0
artemus	0	0
artengine	0	0
artes-arcanas	0	0
artesanato	0	0
artex	0	0
artfactoxp	0	0
artgal	9	1
artgarden	0	0
arthur	0	0
artibireksibir	0	0
artica-postfix	0	0
artichoke	0	0
article-ms	0	0
articlefox	0	0
articles	0	0
articleshostscr	0	0
articlesubmitse	0	0
articlethis	0	0
articolo1	0	0
articomm	0	0
articulate	0	0
articulus	0	0
articyx	0	0
artie	0	0
artifact	0	0
artifact-proxy	0	0
artifactb	0	0
artifactory	0	0
artifax	0	0
artifex	0	0
artificial-soc	0	0
artificialaim	0	0
artificialeryth	0	0
artificialjavaz	0	0
artificiallife	0	0
artificialstock	0	0
artikel23	3	9
artikelwerk	0	0
artillerisk	0	0
artillery-v11	0	0
artima	0	0
artinterface	0	0
artis-watermon	0	0
artisan	0	0
artisant	0	0
artist	0	0
artistcms	0	0
artistdb	0	0
artistus	0	0
artisynth	0	0
artivis	0	0
artlearn	0	0
artlibrary	0	0
artlog	0	0
artlvm	0	0
artnet	0	0
artofnet-raip	0	0
artoftheair	0	0
artoftrajectory	0	0
artofwar	0	0
artofwarfare	0	0
artoo	0	0
artoolkit	0	0
artorun	0	0
artpaint	0	0
artraced	0	0
artrealos	0	0
artregistry	0	0
artridis	0	0
arts	0	0
artsdata	0	0
artsense	0	0
artshow	0	0
artsourcecms	0	0
artspace	0	0
artspline	0	0
artstat	0	0
artstkmkt	0	0
artsys	0	0
artsystem	0	0
artuditu	0	0
artumgen	0	0
artur	0	0
arturius	0	0
artwiz-latin1	0	0
artwizaleczapka	0	0
artwork	0	0
arty	0	0
arty-1	0	0
arua	0	0
arudil	0	0
arudius	0	0
aruke	0	0
arul	0	0
arulb	0	0
arulvigg	0	0
arundo	0	0
arunodhaya80	0	0
aruspix	0	0
arve	0	0
arvotarnia	0	0
arw	0	0
arwiki	0	0
arwingshooter	0	0
arwm	0	0
arxin	0	0
arxivsorter	0	0
arxopia	0	0
arya	0	0
aryan	0	0
aryan-reloaded	0	0
aryl	0	0
arylon	0	0
arzak	0	0
as-smic	0	0
as2008-3	0	0
as2documentor	0	0
as2e4x	0	0
as2eclipse	0	0
as2jb	0	0
as2lib	0	0
as2ui	0	0
as3coder	0	0
as3commons	0	0
as3editor	0	0
as3flvplayer	0	0
as3htmlparser	0	0
as3isogame	0	0
as3mock	0	0
as3skypeapi	0	0
as3videoplayer	0	0
as400gnu	0	0
as400order	0	0
as400rpgeditor	0	0
as4j	0	0
as511	0	0
as6edriver	0	0
asa	0	0
asa-atl	0	0
asa-caltech	0	0
asa72xx	0	0
asaac-openos	0	0
asagao	3	0
asal	0	0
asalta	0	0
asamirc	0	0
asan	0	0
asaneedtree	0	0
asap	0	0
asap-ws-dotnet	0	0
asapframework	0	0
asapkingston	0	0
asaplate	0	0
asas	0	0
asas4maya	0	0
asat	0	0
asatora	0	0
asb	0	0
asbench	0	0
asbum	0	0
asc	0	0
asc-hq	0	0
asc2silo	0	0
asc4webmin	0	0
asca	0	0
ascad	0	0
ascal	0	0
ascalaphus	0	0
ascape	1	4
ascc	0	0
asccrosswalk	0	0
ascend	0	0
ascend-sim	0	0
ascenpos	0	0
ascension	0	0
ascensioncms	0	0
ascent	0	0
ascent-portal	0	0
ascent113	0	0
ascentaccountms	0	0
ascentcmsbyaxe	0	0
ascentemu	0	0
ascentemulator	0	0
ascentgmaddon	0	0
ascentscripts	0	0
ascentti	0	0
ascg	0	0
ascgen2	4	0
aschecador	0	0
ascigamecreator	0	0
ascii-convert	0	0
ascii-design	0	0
ascii-diag	0	0
ascii-mercury	0	0
ascii-mov	0	0
ascii-tetris	0	0
ascii-tvib-drv	0	0
ascii2bean	0	0
ascii2hex	0	0
ascii2unicode	0	0
asciibase64	0	0
asciidm	0	0
asciigen	0	0
asciih	0	0
asciimathml	0	0
asciimathml-com	0	0
asciimon	0	0
asciiplayer	0	0
asciiquickgen	0	0
asciirandogen	0	0
asciirpg	0	0
asciistudio	0	0
asciitadel	0	0
asciitillery	0	0
asciiwiki	0	0
asciizer	0	0
ascimgint	0	0
ascjnuke	0	0
ascl	0	0
ascm	0	0
ascms	0	0
asco	0	0
ascol	0	0
ascolda	0	0
ascom-telescope	0	0
ascommons	0	0
ascon	0	0
ascopl	0	0
ascopy	0	0
ascore	0	0
ascp	0	0
ascpalm	0	0
ascpeg	0	0
ascphysics	0	0
ascript	0	0
ascriptable	0	0
ascsignalsatell	0	0
ascstats	0	0
asctools	0	0
asd	0	0
asd-uniba	0	0
asdcplib	0	0
asde	0	0
asdep	0	0
asdf	0	0
asdf-mplayer	0	0
asdfq	0	0
asdgas	0	0
asdic	0	0
asdl	0	0
asdmusic	0	0
asdn	0	0
asdrad	0	0
asdv	0	0
ase	0	2
asec	0	0
aseclipseplugin	0	0
aseco	2	0
asecurity	0	0
ased	0	0
aseisql	0	0
aselib	0	0
asemt	0	0
aseruntime	0	0
aserv	0	0
ases	0	0
asetot3d	0	0
aseview	0	0
asevsexpert	0	0
asex2	0	0
asf	0	0
asf-james-mgt	0	0
asf4j	0	0
asfc	0	0
asfcomp	0	0
asflow	0	0
asforza4	0	0
asfrecorder	0	0
asfsv	0	0
asgaard	0	0
asgard	0	0
asgard-bio	1	0
asgard-pm	0	0
asgardcore	0	0
asgarditt	0	0
asgardplugins	0	0
asgardrpg	0	0
asgarth	0	0
asgen	0	0
asgh	0	0
asgmemprof	0	0
asgpu	0	0
asgsoftbb	0	0
ash	0	0
ash-framework	0	0
ash-mvc	0	0
ash-protein	0	0
ash-toolkit	0	0
ashamanempires	0	0
asharp	0	0
ashbrookprime	0	0
ashcast	0	0
ashgenda	0	0
ashirwad	0	0
ashkay	0	0
ashkelon	0	0
ashnix	0	0
asholamp	0	0
ashop	0	0
ashp	0	0
ashr	0	0
ashtray	0	0
ashulipi	0	0
ashv	0	0
ashwini	0	0
ashzillaclient	0	0
asi	0	0
asichk	0	0
asicms	1	0
aside	0	0
asidebar	0	0
asido	0	0
asim	0	0
asiml8	0	0
asimov-browser	0	0
asimpleastarpqt	0	0
asimplesmssende	0	0
asinventory	0	0
asio	2	0
asioc	0	0
asiowmpplg	0	0
asip	0	0
asis-dicom	0	0
asis-rpg	0	0
asisted-lesson	0	0
asistente-cmmi	0	0
asiter	0	0
asitunel	0	0
asiv	0	0
asjaca	0	0
ask	0	0
ask-fig	0	0
ask-me	1	0
ask-musictheory	0	0
askarand	0	0
askari	0	0
askcms	0	0
askemos	0	0
askgene	0	0
askme	0	0
askochess	0	0
askomodoeditpaf	0	0
askpappy	0	0
askreg	0	0
asksource	0	0
askt	0	0
asl	0	0
asla	0	0
aslanfirst	0	0
asleap	0	0
asleapjava	0	0
aslhomelibrary	0	0
aslib	0	0
aslib2	0	0
aslinks	0	0
aslla	0	0
aslocalconnect	0	0
asm	0	0
asm-parser	0	0
asm-xml	2	1
asm2005	0	0
asm2class	0	0
asm48	0	0
asm650x	0	0
asm8051	0	0
asm8080	0	0
asma	0	0
asmaan	0	0
asmaes	0	0
asmail	0	0
asmathlib	0	0
asmatic	0	0
asmbo	0	0
asmbug	0	0
asmc	0	0
asmcrew	0	0
asmdaemon	0	0
asmdev	0	0
asmdis	0	0
asmedit	0	0
asmeditor	0	0
asmeta	8	6
asmfile	0	0
asmfind	0	0
asmi	0	0
asmilter	0	0
asmines	0	0
asmirc	0	0
asmj	0	0
asml	0	0
asmlens	0	0
asmlg	0	0
asmlib	0	0
asmlibrary	0	0
asmlibx	0	0
asmlight	0	0
asmlinks	0	0
asmmgr	0	0
asmms	0	0
asmo	0	0
asmock	2	5
asmon	0	0
asmp	0	0
asmpanorama	0	0
asmplan	0	0
asmplugin	0	0
asmref	0	0
asms	0	0
asmshell	0	0
asmsrc	0	0
asmssm	0	0
asmtimer	0	0
asmtrace	0	0
asmversions4vs	0	0
asmview	0	0
asn1-edit	0	0
asn1-gdmo	0	0
asn1c	2	0
asn1forj	0	0
asnafur	0	0
asnalyzer	0	0
asneditor	0	0
asnews	0	0
asnmtap	0	0
asntrackerx	0	0
asociatux	0	0
asom	0	0
asomshkpk	0	0
asongman	0	0
asopec	0	0
asotn2n	0	0
asoutlook	0	0
asp	0	0
asp-admin	0	0
asp-captcha	0	0
asp-cms	0	0
asp-dba	0	0
asp-ent-man	0	0
asp-fileupload	0	0
asp-git	0	0
asp-js	0	0
asp-net-bb	0	0
asp-project	0	0
asp-swb	0	0
aspace	0	0
aspadmin	0	0
aspalumni	0	0
aspam	0	0
aspamia	0	0
aspbannersystem	0	0
aspbbforum	0	0
aspbbu	0	0
aspbeans	0	0
aspbiff8	0	0
aspblog	0	0
aspbook	0	0
aspbookmng	0	0
aspcalendars	0	0
aspce	0	0
aspchatajax	NULL	NULL
aspclassroom	NULL	NULL
aspclib	NULL	NULL
aspcms	NULL	NULL
aspcodegenerato	NULL	NULL
aspdb	0	0
aspdevsoop	0	0
aspdf	0	0
aspdns	0	0
aspeasygallery	0	0
aspecies	0	0
aspect	0	0
aspect-perl	0	0
aspect-sequence	0	0
aspect4facelets	0	0
aspectas	0	0
aspectbeans	0	0
aspectbrains	0	0
aspectbuster	0	0
aspectcom	0	0
aspectd	0	0
aspectdng	0	0
aspectdynamics	0	0
aspectengine	0	0
aspectfun	0	0
aspectj-for-nb6	0	0
aspectj-netbeans	0	0
aspectj4emacs	0	0
aspectj4jbuildr	0	0
aspectjunit	0	0
aspectjworkshop	0	0
aspectme	0	0
aspectn	0	0
aspectnet	0	0
aspectp	0	0
aspectpattern	0	0
aspectphp	0	0
aspectr	0	0
aspectr-fork	0	0
aspectrefactor	0	0
aspectrum	0	0
aspectschema	0	0
aspectsharp	0	0
aspectsharpcomp	0	0
aspectunit	0	0
aspectweaver	0	0
aspectweb	0	0
aspeech	0	0
aspell	3	1
aspell-gu	0	0
aspell-nds	0	0
aspellfor4d	0	0
aspen	0	0
aspen-para-lang	0	0
aspencms	0	0
aspenos	0	0
aspex	0	0
aspexam	0	0
aspexiffuncs	0	0
aspfitnesse	0	0
aspformmail	0	0
aspforums	0	0
aspfoto	0	0
aspfreakautoupd	0	0
aspfreaksts	0	0
aspfunctionlib	0	0
aspfusion1	0	0
asphaltopen	12	3
asphodel	0	0
asphorum	0	0
asphyre	0	0
asphyxia	0	0
aspic	0	0
aspider	0	0
aspincludeparsr	0	0
aspinfinity	0	0
aspinfo	0	0
aspipe	0	0
aspire	0	0
aspire300x	0	0
aspiredev	0	0
aspiresystems	0	0
aspl-fact	0	0
asplaunch	0	0
asplinkmanager	0	0
asplinks	0	0
asplit	0	0
asplosion	0	0
asplugins	0	0
aspmassshopping	0	0
aspmultilanguag	0	0
aspmvcb	0	0
aspmyoracle	0	0
aspn	0	0
aspnet	0	0
aspnet-cms	0	0
aspnet20unhandl	0	0
aspnetac	0	0
aspnetappparam	0	0
aspnetappparams	0	0
aspnetblogproje	0	0
aspnetexcel	0	0
aspnetforum	0	0
aspnethelper	0	0
aspnetmysqlsess	0	0
aspnetria	0	0
aspnetsuite	0	0
aspnettemplates	0	0
aspnetwatchdog	0	0
aspnewspro	0	0
aspnuke	0	0
aspnukecms	0	0
aspnukesql	0	0
aspole2	0	0
aspoof	0	0
asportal	0	0
asppagebuilder	0	0
aspphotoalbum	0	0
asppress	0	0
aspprocatalog	0	0
aspprofiler	0	0
aspquestionnair	0	0
asproxy	1	0
aspschedule	0	0
aspseek	0	0
aspserver	0	0
aspshell	0	0
aspsig	0	0
aspsqladmin	0	0
aspsqlblog	0	0
aspsysinfo	0	0
asptango	0	0
asptemplate	0	0
aspthemeworks	0	0
asptimecards	0	0
asptracker	0	0
asptree	0	0
aspunit	0	0
aspunittest	0	0
aspvcs	0	0
aspview	0	0
aspwatcher	0	0
aspweb	0	0
aspwebmail	0	0
aspwiki	0	0
aspwizard	0	0
aspworx	0	0
aspxblog	0	0
aspxdbac	0	0
aspxmlrpc	0	0
aspyct	0	0
asq	0	0
asqlite	0	0
asqredir	0	0
asr-builder	0	0
asrooka	0	0
ass	0	0
ass-lss	0	0
assameselinux	0	0
assanka	0	0
assassin	0	0
assassin-3d-wb	0	0
assassins	0	0
assaultcubeinva	0	0
asse	0	0
assem2verilog	0	0
assemble	0	0
assemblydiff	0	0
assemblyedit	0	0
assemblyline	0	0
assemblyloader	0	0
assemblymanager	0	0
assemblyview	0	0
assemblyviewer	0	0
asser	0	0
assertj	0	0
assessment	0	0
assessmntctr	0	0
asset	0	0
asset-eyes	0	0
asset-tracker	0	0
assetdatabase	0	0
assetdb	0	0
assetfreehd	0	0
assetmanagement	0	0
assetmanager	0	0
assetssosimple	0	0
assetwrangler	0	0
assh	0	0
assi	0	0
assign-calc	0	0
assigntrack	0	0
assimilate3d	0	0
assimilator	0	0
assis	0	0
assist	0	0
assistant-print	0	0
assistedtesting	0	0
assistent-fah	0	0
assl	0	0
assm	0	0
assmatpaie	0	0
assoc	0	0
assoc-dll	0	0
assoc-upload	0	0
associacaolivre	0	0
associated	0	0
associates	0	0
associatheworld	0	0
associations	0	0
associationview	4	12
associazione	0	0
assogest	0	0
assorted	0	0
assortedwidgets	0	0
assp	0	0
asspa	0	0
asspatch	0	0
assur	0	0
assyst	0	0
ast	5	0
ast-autocall	0	0
ast-dpc	0	0
ast-hc	0	0
ast-php-vm	0	0
ast-tutorial	0	0
asta	0	0
asta-annotator	0	0
astacala	0	0
astacd-activity	0	0
astahttpd	0	0
astap	0	0
astappl	0	0
astar	0	0
astassistant	0	0
astatic	0	0
astats	0	0
astatspro	0	0
astbill	0	0
astbilling	0	0
astbss	0	0
astcccrm	0	0
astcentric	0	0
astciscoxml	0	0
astcontrol	0	0
astdeb	0	0
aste	0	0
astebill	0	0
astecall	0	0
astengine	0	0
aster	0	0
aster-oid	0	0
asteranwn	0	0
astercallcenter	0	0
astercard	0	0
astercast	0	0
astercc	0	0
astercon	0	0
asterex	0	0
asterfax	0	0
asterion	0	0
asterisco-em	0	0
asteriscoparana	0	0
asterisk	0	0
asterisk-3166	0	0
asterisk-bsd	0	0
asterisk-crm	0	0
asterisk-cti	0	0
asterisk-dotnet	0	0
asterisk-espeak	0	0
asterisk-flite	0	0
asterisk-gui	0	0
asterisk-gw	0	0
asterisk-java	0	0
asterisk-jsp	0	0
asterisk-jtapi	0	0
asterisk-mobile	0	0
asterisk-nami	0	0
asterisk-oh323	0	0
asterisk-sme7	0	0
asterisk-stuff	0	0
asterisk-tools	0	0
asterisk-vmc	0	0
asterisk4soho	0	0
asterisk4work	0	0
asteriskad	0	0
asteriskadmin	0	0
asteriskatwork	0	0
asteriskbilling	0	0
asteriskcallbac	0	0
asteriskccs	0	0
asteriskcds	0	0
asteriskconnect	0	0
asteriskcpan	0	0
asteriskcpp	0	0
asteriskgui	0	0
asteriskguiclie	0	0
asteriskguiclvi	0	0
asterisklink	0	0
asteriskmanager	0	0
asteriskmonitor	0	0
asteriskncs	0	0
asteriskphptime	0	0
asteriskprsnc	0	0
asteriskrtadmin	0	0
asterisksbta	0	0
asterisksuite	0	0
asteriskvideo	0	0
asteriskvoip	0	0
asteriskvxml	0	0
astero	0	0
asteroidhero	0	0
asteroidrecurse	0	0
asteroids3d	0	0
asteroidsincal	0	0
asteroidz	0	0
asteroski	0	0
asterpoll	0	0
astertaxi	0	0
astertrack	0	0
asterweb	0	0
asterwin	0	0
astf	0	0
astfin	0	0
astfon	0	0
astg	0	0
astgen	0	0
asthon	0	0
astinteraction	0	0
astiob	0	0
astitray	0	0
astjavabill	0	0
astjcti	0	0
astk	0	0
astl	0	0
astlib	1	0
astlibrary	0	0
astlinux	1	0
astmail	0	0
astman	0	0
astmanager	0	0
astmanclient	0	0
astmaneclipse	0	0
astmon	0	0
astmonitor	0	0
astmyadmin	0	0
astparser	0	0
astplandesigner	0	0
astpop	0	0
astpp	3	1
astprepaid-fbsd	0	0
astproject	0	0
astqueueicon	0	0
astqueuestats	0	0
astra	0	0
astra-pax	0	0
astra-sphinx	0	0
astra92lib	0	0
astrag	0	0
astral	0	0
astral-revol	0	0
astralaura	0	0
astraldragon	0	0
astralflight	0	0
astralraid	0	0
astralx	0	0
astramap	0	0
astranos	0	0
astray	0	0
astree	0	0
astreproduce	0	0
astres	1	1
astrid	0	0
astro	0	0
astro-online	0	0
astroalgorithms	0	0
astroarm	0	0
astroblast	0	0
astrocalc	0	0
astrocam	0	0
astroccd	0	0
astroclipse	0	0
astrodatabase	0	0
astrofits	0	0
astrofun	0	0
astrog	0	0
astrogame	0	0
astrogrep	0	0
astrogrepportab	0	0
astrohalaxy	0	0
astroinfo	0	0
astrokeep	0	0
astrolab	0	0
astrolabe	0	0
astrolanguage	0	0
astrolator	0	0
astrolog	0	0
astrolognet	0	0
astrolom	0	0
astromessier	0	0
astron	0	0
astronautnostro	0	0
astronoid	0	0
astronomia	0	0
astronomy	0	0
astroobs	0	0
astropatterns	0	0
astrophp	0	0
astroplacedb	0	0
astroseries	0	0
astrosoft	0	0
astrospaces	0	0
astrotrayicon	0	0
astrotycoon	0	0
astroweka	0	0
astrumfutura	0	0
astrxtools4osx	0	0
asttapi	0	0
asturpilotes	0	0
astweb	0	0
astwebpanel	0	0
astyle	3	1
astyleclipse	0	0
asu-service	0	0
asubtlemind	0	0
asudoku	0	0
asuecetpublish	0	0
asumi-task-m	0	0
asuml	0	0
asunder	0	0
asunit	0	0
asurabb	0	0
asuro	0	0
asus-l5d-hotkey	0	0
asusg50oled	0	0
asusoled	0	0
asvcs	0	0
asverd	0	0
asvntest79	0	0
asw	0	0
aswebcontrol	0	0
aswex	0	0
aswiki	0	0
aswing	0	0
asxa	0	0
asxmlp	0	0
asycs	0	0
asycxx	0	0
asylia	0	0
asylum	0	0
asymptote	6	5
async	0	0
async-db	0	0
async-j	0	0
