#  file: sfRawDbEnvData2009-Dec.txt
#  package: sfRawData2009-Dec
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Dec
#
#  Raw data was inserted into database by running the scripts:
#  parseHtmlDBEnvSF.pl
#
#  This particular file includes raw "DB Environment" data for each project 
#  that shows this info on their SF project pages. (Not every project lists this 
#  information.)
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2009) SourceForge Available at: 
#  http://flossmole.org
#
#  SELECT * FROM `project_db_environment` WHERE datasource_id=206
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  code: the code number (given by SF) for the database environment (PK)
#  description: what that code number means currently, as defined by SF
#  date_collected: this is the date the data was inserted
#  datasource_id: when was this data gathered, and on which run? (PK)
proj_unixname	code	description	date_collected	datasource_id
abettor	524	MySQL	2010-01-19 11:56:38	206
abfm	524	MySQL	2010-01-19 11:56:38	206
abhijna	511	Project is a database management tool	2010-01-19 11:56:38	206
abhijna	516	Project is a relational object mapper	2010-01-19 11:56:38	206
abicloud	508	SQL-based	2010-01-19 11:56:38	206
abills	524	MySQL	2010-01-19 11:56:38	206
abk	514	Project is a tool for a proprietary database file format	2010-01-19 11:56:38	206
ablog	525	PostgreSQL (pgsql)	2010-01-19 11:56:38	206
abnorm	503	ADOdb	2010-01-19 11:56:38	206
abnorm	526	Oracle	2010-01-19 11:56:38	206
abnorm	525	PostgreSQL (pgsql)	2010-01-19 11:56:38	206
abnorm	510	Project is a database abstraction layer (API)	2010-01-19 11:56:38	206
abnorm	516	Project is a relational object mapper	2010-01-19 11:56:38	206
abnorm	508	SQL-based	2010-01-19 11:56:38	206
aboard	524	MySQL	2010-01-19 11:56:38	206
abot	508	SQL-based	2010-01-19 11:56:38	206
about-server	524	MySQL	2010-01-19 11:56:38	206
aboutme	524	MySQL	2010-01-19 11:56:38	206
aboutosic	502	JDBC	2010-01-19 11:56:38	206
aboutosic	518	Microsoft Access	2010-01-19 11:56:38	206
abp-keepass	521	Flat-file	2010-01-19 11:56:38	206
abproject	521	Flat-file	2010-01-19 11:56:38	206
abracats	524	MySQL	2010-01-19 11:56:38	206
abrain	522	Proprietary file format	2010-01-19 11:56:38	206
abrain	528	Firebird/InterBase	2010-01-19 11:56:38	206
absboat	531	SQLite	2010-01-19 11:56:38	206
absencesmanager	525	PostgreSQL (pgsql)	2010-01-19 11:56:38	206
absinth-chat	524	MySQL	2010-01-19 11:56:38	206
absolut-library	524	MySQL	2010-01-19 11:56:38	206
absolutevirtue	524	MySQL	2010-01-19 11:56:38	206
absolutevirtue	511	Project is a database management tool	2010-01-19 11:56:38	206
absolutevirtue	508	SQL-based	2010-01-19 11:56:38	206
absorbx	502	JDBC	2010-01-19 11:56:38	206
absretail	509	Other API	2010-01-19 11:56:38	206
absschoolessman	524	MySQL	2010-01-19 11:56:38	206
abstract	524	MySQL	2010-01-19 11:56:38	206
abstract	531	SQLite	2010-01-19 11:56:38	206
abstractcache	502	JDBC	2010-01-19 11:56:38	206
abstractdbnet	503	ADOdb	2010-01-19 11:56:38	206
abstractdbnet	501	ODBC	2010-01-19 11:56:38	206
abstractdbnet	508	SQL-based	2010-01-19 11:56:38	206
abstraction	508	SQL-based	2010-01-19 11:56:38	206
abstractminds	526	Oracle	2010-01-19 11:56:38	206
abstractminds	502	JDBC	2010-01-19 11:56:38	206
abstractrecords	508	SQL-based	2010-01-19 11:56:38	206
abtrack	524	MySQL	2010-01-19 11:56:38	206
abx	521	Flat-file	2010-01-19 11:56:38	206
abyframework	526	Oracle	2010-01-19 11:56:38	206
abyframework	524	MySQL	2010-01-19 11:56:38	206
abyframework	530	Microsoft SQL Server	2010-01-19 11:56:38	206
abyss-system	524	MySQL	2010-01-19 11:56:38	206
abyssstudio	507	XML-based	2010-01-19 11:56:38	206
ac-software	524	MySQL	2010-01-19 11:56:39	206
acaclick	508	SQL-based	2010-01-19 11:56:39	206
acadehelp	523	Other file-based DBMS	2010-01-19 11:56:39	206
academia	502	JDBC	2010-01-19 11:56:39	206
academic-board	524	MySQL	2010-01-19 11:56:39	206
academicappoint	524	MySQL	2010-01-19 11:56:39	206
academicjournal	524	MySQL	2010-01-19 11:56:39	206
academixml	507	XML-based	2010-01-19 11:56:39	206
acadevialearn	531	SQLite	2010-01-19 11:56:39	206
acadex	502	JDBC	2010-01-19 11:56:39	206
acadmap2pgsql	525	PostgreSQL (pgsql)	2010-01-19 11:56:39	206
acadwixinstall	507	XML-based	2010-01-19 11:56:39	206
acafe	530	Microsoft SQL Server	2010-01-19 11:56:39	206
acago	508	SQL-based	2010-01-19 11:56:39	206
acalt	511	Project is a database management tool	2010-01-19 11:56:39	206
acalt	514	Project is a tool for a proprietary database file format	2010-01-19 11:56:39	206
acami	524	MySQL	2010-01-19 11:56:39	206
acami	505	PHP Pear::DB	2010-01-19 11:56:39	206
acap-val-parser	521	Flat-file	2010-01-19 11:56:39	206
acarsxx	524	MySQL	2010-01-19 11:56:39	206
acasha	531	SQLite	2010-01-19 11:56:39	206
acasha	524	MySQL	2010-01-19 11:56:39	206
acauv	502	JDBC	2010-01-19 11:56:39	206
acauv	524	MySQL	2010-01-19 11:56:39	206
acc-attack	524	MySQL	2010-01-19 11:56:39	206
accelerator-ml	507	XML-based	2010-01-19 11:56:39	206
access-svn	530	Microsoft SQL Server	2010-01-19 11:56:39	206
access-svn	518	Microsoft Access	2010-01-19 11:56:39	206
accessbuild	511	Project is a database management tool	2010-01-19 11:56:39	206
accessdatabasea	509	Other API	2010-01-19 11:56:39	206
accessdatabasea	533	Other network-based DBMS	2010-01-19 11:56:39	206
accessdb	518	Microsoft Access	2010-01-19 11:56:39	206
