#  file: fsfProjectInfo2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT proj_num, proj_unixname, date_collected, datasource_id, url, real_url, desc_short, desc_long, user_level 
#  FROM fsf_projects 
#  WHERE datasource_id=221 
#  ORDER BY proj_num
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	date_collected	datasource_id	url	real_url	desc_short	desc_long	user_level
15	zile	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zile	http://www.gnu.org/software/zile/	An Emacs clone.	Zile is a small, fast, and powerful Emacs clone. It is useful for small footprint installations (e.g. on floppy disk) or quick editing sessions.  Festures include:\n<ul>\n<li>Small.	Intermediate
16	zgv	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zgv	http://www.svgalib.org/rus/zgv/	Picture viewer for VGA/SVGA	'zgv' is a full-featured, svgalib-based picture\nviewer for VGA/SVGA displays which supports most popular formats. It\nprovides a file selector with thumbnails to select file(s) to view,\nand allows panning and fit-to-screen methods of viewing, slideshows,\nscaling, gamma adjustment, etc.\n	
17	zerotools	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zerotools	http://koltsoff.com/pub/zerotools	Tools to aid compression of virtual machine disks with Linux virtual machines.	Zerotools are a set of tools to aid keeping virtual disks clean by filling binary zero to those regions which are no longer in "use". This is done on-the-fly or manually, depending on which tool suits the needs best. The tools do not compete with other programs that rewrite removed files in order to make their restoration close to impossible. Zerotools are mostly useful for people who compress or archive virtual machines constantly. The tools are run inside the virtualized Linux system and are distribution-agnostic.	
18	zeppoo	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zeppoo	http://www.zeppoo.net	Software to detect if a rootkit is installed on your system.	Zeppoo allows you to detect rootkits on the i386\narchitecture under Linux by using /dev/kmem and\n/dev/mem. It can also detect hidden tasks,\nmodules, syscalls, some corrupted symbols, and\nhidden connections. Anti-Rootkits which don't use\nthese methods can be fooled easily.\n	
19	zenslideshow	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zenslideshow	http://www.zen-slideshow.com	Is a php slideshow application for web sites	Zen-slideshow is a free software php slideshow application for web sites. Zen-slideshow was designed to provide the web developer with a configurable slideshow application. The web developer decides: <br>\n<ul>\n<li>Where zen-slideshow will be installed.</li>\n<li>Where is the folder which will contain the images for the slideshow.</li>\n<li>What is the maximum width and height for the images in the slide show.</li>\n<li>Will there be thumbnails.</li>\n<li>What is the maximum width and height of the thumbnails.</li>\n<li>Will their be manual slideshow navigatioin controls. </li>\n<li>Will their be auto slideshow controls.</li>\n<li>Will there be a auto slideshow delay controls.</li>\n<li>What will be the auto slideshow delay contorl options.</li>\n<li>Will the slideshow be its own web page or will it be included in another web page.</li>\n<li>How the slide show will look</li>\n</ul>\n Once installed, the content for zen-slideshow is changed by adding and deleting images in the image folder.\n	
20	zenity	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zenity	http://cvs.gnome.org/bonsai/rview.cgi?cvsroot=/cvs/gnome&amp;dir=zenity	Displays Gtk+ dialog boxes from the command line or shell scripts	Zenity lets you display Gtk+ dialog boxes from the\ncommand line and through shell scripts. It is similar to gdialog, but\nis intended to be saner. It comes from the same family as dialog,\nXdialog, and cdialog, but it surpasses those projects by having a\ncooler name.\n	
21	zebra	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zebra	http://www.zebra.org/	Implementation of routing protocols	Zebra is a multi-server routing protocol that\nprovides TCP/IP based routing protocols. It's meant to be used as a\nroute server and router reflector. Not just a toolkit, it provides\nfull routing power under a new architecture. The user can dynamically\nchange configuration and use command line completion and history from\nthe terminal interface.\n\nThe programs supports:	
22	zebedee	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zebedee	http://www.winton.org.uk/zebedee/	Secure tunnel for TCP/IP or UDP data transfer	Zebedee establishes an encrypted, compressed\ntunnel for TCP/IP or UDP data transfer between two systems. This\nprotects telnet, ftp and X traffic from snooping. It has a small\nfootprint, low wire protocol overhead, and gives significant traffic\nreduction by the use of compression.\n	
23	zdisk	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zdisk	http://www.ibiblio.org/pub/Linux/system/recovery/	Creates a boot/rescue floppy or CD	Zdisk lets you have a kernel and a rescue system\non one floppy. The programs copies a kernel of your choice to a floppy\nand then adds a rescue system to the same floppy (the kernel can't be\nbigger than 975 Kb on a floppy, although it can be bigger on a\nCD). Zdisk has almost the same rescue system as ramf-86, except\nramf-86 comes with a kernel.\n	
24	zapping	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zapping	http://zapping.sourceforge.net/	A TV viewer program for GNOME.	Zapping is a TV viewer for GNOME that supports Video4Linux, Video4Linux2, and XVideo. It's extensible through plugins.	
25	z2html	2010-05-03 16:09:19	221	http://directory.fsf.org/project/z2html	http://project.departure.dk/zdl.html	Converts files in the Z document language to HTML	'z2html' translates files written in the free Z\nDocument Language to compliant XHTML 1.1. It is both SGML and\nXML-compliant.\n	
26	yuv4mpeg	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yuv4mpeg	http://frodo.dyn.gno.org/~brettk/yuv4mpeg/	Let users creat yuv4mpeg filters in Perl	'yuv4mpeg' is a Perl module which provides access\nto the yuv4mpeg library, which is part of mjpegtools.  The library\nprovides functions for reading/writing stream and frame header\ninformation, as well as the frame data itself. Also, the Perl bindings\nhave been augmented with some fast data-access methods to make it\nquick and easy to pull out the raw frame data in various forms.  The\nmodule is meant to lets users create yuv4mpeg filters in Perl.\n	
27	yum-repo-sync	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yum-repo-sync	http://www.dotsharp.com.br/programas/yum-repo-sync.html	A script for creating a local repository for yum.	This shell script automatically downloads \nand synchronizes a Fedora Core repository with a local yum \nrepository. There are already configurations for FC3, FC4, \nFC5, and FC6 which only need to be activated. \n	
28	yudit	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yudit	http://www.yudit.org/	Unicode text editor for the X Window System	Yudit is a unicode text editor for the X Window\nSystem. It can do True Type font rendering, printing, transliterated\nkeyboard input, and handwriting recognition with no dependencies on \nexternal engines. Its conversion utilities can convert text between\nvarious encodings. Keyboard input maps can also act like text\nconverters for instant transliterations of your text. There is no need\nfor a pre-installed multi-lingual environment. The menus are available\nin many languages.\n\nThe program supports handwriting recognition and right-to-left\nwriting, and has built-in printing support and direct TrueType\nsupport. You can display and print your text in a combination of\nTrueType and X11 fonts.	
29	ytree	2010-05-03 16:09:19	221	http://directory.fsf.org/project/ytree	http://www.han.de/~werner/ytree.html	File manager with an xtree-like interface	'ytree' is a file manager that t works under\nterminals using ncurses. It supports external programs to view/edit\nfiles. It is configurable, supports different architectures, if\navailable it has colors, and has an internal hex viewer and editor. It\nis designed with xtree's interface but *nix semantics. It is fast,\nlight, and can be compiled with x-curses.\n	
30	ytalk	2010-05-03 16:09:19	221	http://directory.fsf.org/project/ytalk	http://www.impul.se/ytalk/	Multi-user chat program	'Ytalk' is a multi-user talk program that works like\nthe UNIX talk program but allows for multiple connections and shell\nsessions inside the talk window. It is compatible with older UNIX talk\nclients and daemons. You can save any side of the current conversion\nand define aliases for addresses or hostnames.\n\nYTalk connects to the talk daemon on each user's host and determines\nif that user has left an invitation for you to call. If not, YTalk\nleaves an invitation for him and tells his talk daemon to send an\nannouncement to his screen. There is no dedicated YTalk daemon.	
31	ysmicq	2010-05-03 16:09:19	221	http://directory.fsf.org/project/ysmicq	http://ysmv7.sourceforge.net	An easy ICQ console client.	YSM (You Sick Me) v7 is an ICQ console client.  It\nwas originally meant to run in GNU/Linux, but it has\nbeen successfully tested in other systems. The client requires no \nextra libraries, and is written in the C language. YSM\nis based on the last ICQ protocol version, v7/8. \n	
32	ypserv	2010-05-03 16:09:19	221	http://directory.fsf.org/project/ypserv	http://www.linux-nis.org/nis/ypserv/	Simple network lookup service	The Network Information Service (NIS) (formerly\nknown as Sun Yellow Pages (YP)) provides a simple network lookup\nservice consisting of databases and processes. The functionality of\nthe two remains the same, only the name has changed. It provides\ninformation, that has to be known throughout the network, to all\nmachines on the network.\n	
33	youhp3	2010-05-03 16:09:19	221	http://directory.fsf.org/project/youhp3	http://www.youpee.org/	HTML preprocessor	Youhp3 (Youpee's One Unlimited HTML PreProcessor)\nis an HTML preprocessor that allows you to embed code of any script\nlanguage, as well as calling any external program to generate text\nfiles. It is specifically designed to work with HTML/XML documents,\nand provide traditional features, such as define, include, macro,\nconditional tests, and loop.\n	
34	yhttpd	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yhttpd	http://www.yhttpd.org	Lightweight Web server	'yhttpd' is an XML-configurable, light, very\nportable, multi-platform Web server written in C++ and a small subset\nof C. It runs on all POSIX compatible operating systems and uses the\nGNU GCC C++ compiler from 3.1 and up with pthreads enabled. It is\nbased on the yChat socket and thread engines.\n	
35	ygl	2010-05-03 16:09:19	221	http://directory.fsf.org/project/ygl	http://www.thp.uni-duisburg.de/Ygl/ReadMe.html	2D graphics library	Ygl is a two dimensional grpahics programs with a\nvariety of standard X11 routines. Included are most 2D graphics\nroutines, a queue device routine, some query routines,\ndoublebuffering, RGB mode with arbitrary visuals and most window\nattribute routines.\n	
36	yelp	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yelp		Gnome help browser	Help browser for GNOME 2.0 which supports docbook\ndocuments, info and man.\n	
37	yeemp	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yeemp	http://deekoo.net/technocracy/yeemp/	Decentralized instant messaging	'yeemp' is a decentralized instant messaging\nsystem. It uses GPG over SSL for encryption, and UTF-8 to enable\nnon-Latin text to be transferred. The clients include support for\nJapanese, Cyrillic, and Ogham input, as well as direct UTF-8. Yeemp\nincludes a command-line client, an X client, a server, and a simple\nWeb-based client. The clients can also use the AIM and ICQ protocols.\n	
38	yed	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yed	http://yed.sourceforge.net	Library of modules for object-oriented programming	Yed is a C software library made of modules\n(objects) instanceable according to the main paradigms of Object\nOriented Programming: incapsulation and data hiding. The library\ncontains objects that handle XML files, FTP connections, filesystem\noperations, etc. Yed acts only at the C compiler preprocessing level,\nusing particular macros; therefore, using Yed objects is transparent\nto the compiler, so users do not have to develop additional\n"translation" tools that have to be run before compiling.\n	
39	yaws	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yaws	http://yaws.hyber.org/	Light-weight, threaded Web server	'yaws' is a high performance, light-weight,\nthreaded HTTP 1.1 Web server targeted for the generation of dynamic\ncontent. It is written in Erlang, and the server side dynamic content\nis generated by Erlang code embedded in the HTML code. It is able to\nship several thousands of dynamically generated pages per second.\n	
40	yawk	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yawk	http://www.awk-scripting.de/cgi/wiki.cgi/yawk/00-WikiIndex	Wiki clone written in gawk	'yawk' is a wiki clone written in gawk. It supports\nthe usual text styles, lists, and tables. Additional and optional\nfeatures are formatting with stylesheet classes, file uploads, and a\nframed user interface mode. It works on plain text files and does not\nrequire a database.\n	
41	yavipin	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yavipin	http://yavipin.sourceforge.net/	Secure tunnel	Yavipind is a secure tunnel (2 peers securely\nforwarding packets toward each other). It forwards any kind of packet\n(IPv4, IPv6, or other) sent over the virtual point-to-point device\n(e.g., tun0). It runs in Linux userspace (no need to recompile the\nkernel). Yavipin is virtual, so you can apply any tool designed for\nthe network device.\n\n<P>Packet overheard is small (26 bytes) and packets can be compressed\nusing gzip. The tunnel can be established over NAT since all packets\nin a tunnel are sent over a single UDP/IPv4 connection. If one peer\nbecomes unreachable, it is detected; if a peer deliberately stops, it\nimmediately notifies the other peer.\n\n<P>Packages are encrytpted with blowfish. The program has strict\nanti-replay rules and no packet can be accepted twice. Traffic older\nthan a given delay (default 10 min) can't be decrypted since the keys\nare periodically renewed and securely erased.\n	
42	yasss	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yasss	http://moritz.faui2k3.org/en/yasss	A program that solves and generates Sudokus from the command line and curses.	YasSS (Yet another (simple|stupid) Sudoku Solver) is a Sudoku solver for the command line. It solves any Sudoku puzzle and generates Sudoku puzzles. It can calculate the number of solutions, print a difficulty rating, and generate a canonical form for a puzzle. It also provides a curses interface for playing Sudoku. 	
43	yassl	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yassl	http://yassl.com/	BuildS security functionality into applications and devices	The yaSSL Library version 0.9.9 includes the following:\n<pre>\n    * SSL version 3 and TLS version 1 (client and server)\n    * OpenSSL compatibility layer\n    * MySQL integration\n    * Initial stunnel integration\n    * MD5, SHA-1, HMAC, DES, 3DES, AES, ARC4, RSA, DSS, and DH\n    * Simple API\n    * Interchangeable crypto and certificate libraries\n    * PEM and DER certificate support\n\n</pre>   \n	
44	yasm	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yasm	http://www.tortall.net/projects/yasm/	A rewrite of the NASM assembler with additional support (64-bit, Mach-O, etc.)	The Yasm Modular Assembler accepts both NASM and GAS syntax; supports x86 and AMD64 instructions; and outputs binary, ELF32, ELF64, 32 and 64-bit Mach-O, RDOFF2, COFF, Win32, and Win64 object formats.	
45	yard	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yard	http://www.linuxlots.com/~fawcett/yard/index.html	Scripts for creating rescue disks	Yard is a suite of Perl scripts for creating\nrescue disks for GNU/Linux. A rescue disk is a self-contained kernel\nand filesystem on a floppy, usually used when you can't (or don't want\nto) boot off your hard disk, that contains utilities for diagnosing\nand manipulating hard disks and filesystems. Yard itself is not a\nrescue disk or boot disk; it is a tool for creating one. The user must\ndo a certain amount of file choosing to make it work, but the result\nis a customized rescue disk that is complete, useful, and up-to-date.\n\nYard does not use special, minimal files to make everything fit in\na small filesystem. Instead, it uses standard files from your hard\ndisk installation, so you can use as many diskettes as you need\n(usually 2-3, since everything is compressed)\n	
46	yappa-ng	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yappa-ng	http://www.zirkon.at/zirkon/scripts/yappa-ng/yappa-ng_main_eng.html	Manages an online photo gallery	'yappa-ng' is an easy to use online PHP photo\ngallery. It has a comfortable and elaborate album-oriented photo album\nadministration Web interface. Each picture can be viewed in many\ndifferent sizes with resizing created automatically on the fly. \n\n<P>It has complete user selectable language support, and supports\npassword protected albums, hit counters for albums and images, album\ninfo, image captions, gallery overview, different themes, and a 'Top\n10 images' ranking system for each photo album. It does not need a\ndatabase. The package has been translated into 13 languages.\n	
47	yapbib	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yapbib	http://www.cs.jhu.edu/~jcorso/yapbib	Manages a set of literature references	"Your Annotated Persional Bibliography" lets you\nmaintain and store a set of literature references, organize,\nmanipulate, take notes on, and categorize them. It even lets you\nexport to Bibtex files for inclusion into articles you write. The\ndatabase is in ASCII form that is easily read into other programs or\nmodified by hand. Yapbib also stores a cached copy of each article in\nPDF format.\n	
48	yam	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yam	http://dag.wieers.com/home-made/yam/	A tool that builds a local RPM repository from ISO files and RPM packages.	Yam builds a local APT/Yum RPM repository from\nlocal ISO files, downloaded updates, and extra\npackages from RHN (Red Hat Network) and 3rd party\nrepositories. It takes care of setting up the ISO files,\ndownloading the RPMs, configuring HTTP access, and\nproviding PXE/TFTP resources for remote installations.\nIt was primarily intended for doing remote network\ninstallations of various distributions from a\nlaptop without the need for CD media or floppies,\nbut is equally suitable for an organization's\ncentralized update server.\n	
49	yagtd	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yagtd	https://gna.org/projects/yagtd/	A utility designed to make the management of your to-do list quick and easy.	yaGTD is a very simple utility designed to make\nthe management of your to-do list quick and easy.\nIt incorporates major features from Allen's\nGetting Things Done philosophy and a notion of\nurgency and importance preached by Stephen Covey\nin his Seven Habits of Highly Effective People book.\n	
50	yagg	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yagg	http://yagg.sourceforge.net/	Generates all strings of a user-specified length.	'yagg' generates all strings of a user-specified\nlength. The YACC-like language grammar file provides the grammar\nproductions for string generation and optional action blocks that\nperform context-sensitive checks in order to limit the generated\nstrings. The LEX-like terminal generator file provides specifications\nthat tell the program how to generate strings for terminals in the\ngrammar.\n\n<P>If you already have a YACC or Bison parser file, you need only to\nadd "unaction" blocks to allow the recursive generator to undo the\nside effects of the action blocks. If you already have a LEX or FLEX\nlexer input file, you need only remove extraneous code and replace any\nregular expressions with one of the terminal generator specifications.\n	
