#  file: fmRawProjectAuthors2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=218
#  AND fpa.datasource_id=218
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 218 is the May 2010 run on freshmeat.
project_id	projectname_short	author_name	author_role
302	apachetoolbox\n    	Bryan Andrews	Owner
305	apache-ssl\n    	Ben Laurie	Owner
308	apache2dot\n    	Darxus	Owner
310	apacheasp\n    	Joshua Chamas	Owner
315	apachesession\n    	Alexandr Ciornii	Owner
319	apache-compile-howto\n    	Luc de Louw	Owner
320	apalogfilter\n    	Daniel Scheibli	Owner
325	apccomm\n    	BOOMERANG	Owner
326	apcupsd\n    	Kern Sibbald	Owner
326	apcupsd\n    	Adam Kropelin	Developer/Project Admin
330	aphrodite\n    	alphanumerica	Owner
333	aplus\n    	ber	Owner
338	app\n    	George Nelan	Owner
341	applixwareperlapi\n    	Uwe C. Schroeder	Owner
347	aps\n    	Christian Schulte (DG1NSW)	Owner
348	apsr\n    	Martin Kluge	Owner
353	apt-proxy\n    	haggai	Owner
353	apt-proxy\n    	Rusty	Original author
356	aquarium\n    	Shannon -jj Behrens	Owner
357	arabeske\n    	wozzeck	Owner
358	arachnebrowser\n    	Michael Polak	Owner
359	arad-onetable-editor\n    	Shlomi Fish	Owner
362	arcem\n    	Dave Gilbert	Owner
367	argante\n    	The Evil Twin	Owner
368	argouml\n    	Jason Robbins	Owner
369	argtable\n    	Stewart Heitmann	Owner
372	arisyahooclient\n    	Sam Kennedy	Owner
374	ariadne\n    	Muze	Owner
375	arianne\n    	Miguel Angel Blanch Lardin	Owner
376	arkeiaanb\n    	Arkeia Software Corp	Owner
378	arla\n    	Love Hörnquist Åstrand	Owner
383	armymaker\n    	darke de Loup	Owner
385	arping\n    	Marvin	Owner
386	arpoison\n    	Steve Buer	Owner
389	arrow\n    	John Lindal	Owner
397	arts\n    	Stefan Westerfeld	Owner
398	arts++\n    	Ryan Koga	Owner
399	artstream\n    	hclmed	Owner
402	asapm\n    	Tigr	Owner
403	asbutton\n    	Ryan	Owner
405	ascii\n    	Eric S. Raymond	Owner
408	ascii2pdf\n    	Michael Arndt	Owner
412	ascpu\n    	Tigr	Owner
416	asforza4\n    	Riccardo&Cesare	Owner
419	askemos\n    	Jerry	Owner
421	asmail\n    	Tigr	Owner
422	asmem\n    	Tigr	Owner
423	asmix\n    	Tigr	Owner
424	asmon\n    	Tigr	Owner
425	asmutils\n    	Konstantin Boldyshev	Owner
428	asp2php\n    	Michael Kohn	Owner
429	aspell\n    	Kevin Atkinson	Owner
430	aspell-da\n    	Jacob Sparre Andersen	Owner
431	asplinux\n    	asplinux	Owner
432	aspseek\n    	Kir Kolyshkin	Owner
439	astaropsd\n    	astaro	Owner
440	asl\n    	astaro	Owner
443	asteroids3d\n    	Jan Engelhardt	Owner
445	astime\n    	Tigr	Owner
446	astroconst\n    	J.Bailin	Owner
453	aterm\n    	Sasha Vasko	Owner
455	athene\n    	Rocklyte	Owner
465	audiofilelibrary\n    	Michael Pruett	Owner
466	audio-entropyd\n    	udo	Owner
466	audio-entropyd\n    	Folkert van Heusden	admin
467	audiodsp\n    	Seth David Johnson	Owner
468	audiocdweb\n    	Henry Palonen	Owner
472	audiomixer\n    	timecop	Owner
473	audit\n    	Jeff Tranter	Owner
477	etsre\n    	Mezcalero	Owner
478	august\n    	b:son	Owner
479	aumix\n    	trevor	Owner
482	austinpm\n    	JCGregorio	Owner
484	authenticatedusercommunity\n    	David Moore	Owner
485	authforce\n    	kapheine	Owner
486	authlocal\n    	Jeremy Monin	Owner
488	auth_ldap\n    	rudedog	Owner
489	automanager\n    	itools	Owner
490	and\n    	P. Schemitz	Owner
498	autoconvert\n    	Yu Guanghui	Owner
500	autodns\n    	Jonathan McDowell	Owner
501	autofs\n    	H. Peter Anvin	Owner
504	autogen\n    	Bruce Korb	Owner
507	autojot\n    	Seth Golub	Owner
508	autolame\n    	Christian Garbs	Owner
515	apgd\n    	Adel I. Mirzazhanov	Owner
516	autoxdr\n    	Bruce Korb	Owner
518	asa\n    	Automatos Server Agent	Owner
520	autoopts\n    	Bruce Korb	Owner
528	autorpm\n    	Kirk Bauer	Owner
529	autorun\n    	Harald Hoyer	Owner
532	autostatus\n    	Dave Andersen	Owner
533	autotrace\n    	Martin Weber	Owner
535	autoupdate\n    	Gerald Teschl	Owner
538	afinger\n    	Pieter Krul	Owner
540	avacl\n    	Paul L Daniels	Owner
541	avalon\n    	bear1	Owner
541	avalon\n    	Paul Hammant	Administrator
544	avfs\n    	Miklos Szeredi	Owner
545	avi-xmms\n    	Crocodile	Owner
547	avifile\n    	Hamster	Owner
548	avi2mpegpatch\n    	Alexander Oelzant	Owner
549	avl\n    	Daniel Nagy	Owner
550	avlmap\n    	Phil Howard	Owner
552	avrmon-stk200\n    	Nicolas Korber	Owner
558	awemud\n    	Sean Middleditch	Owner
560	awka\n    	Andrew Sumner	Owner
562	awstats\n    	Laurent Destailleur	Owner and author
563	ax25-apps\n    	seeS	Owner
564	ax25-tools\n    	seeS	Owner
566	axkit\n    	Matt Sergeant	Owner
571	b_\n    	Victor Liu	Owner
573	babelj\n    	Tim Macinta	Owner
575	babylonchat\n    	Andy McLaughlin	Owner
576	babytrans\n    	Cods	Owner
577	back-end\n    	Mike Gifford	Owner
586	backupsd\n    	Dan Fraser (Optic)	Owner
587	backupsw\n    	VisualVersion LLC	Owner
590	bag\n    	Dobrica Pavlinusic	Owner
593	bahamut\n    	Jason Slagle	Owner
598	bakery\n    	Murray Cumming	Owner
599	balance\n    	Thomas Obermair	Owner
600	balmail\n    	Jake Jellinek	Owner
601	balsa\n    	Carlos Morgado	Developer
601	balsa\n    	Matthew Guenther	Owner
603	banal\n    	G. Matthew Rice	Owner
610	bannerkiller\n    	Sebastien Ailleret	Owner
613	barrendero\n    	Eduardo Diaz Comellas	Owner
618	bashish\n    	arne	Owner
620	baslinux\n    	ichi	Owner
622	basiliskii\n    	Christian Bauer	Owner
623	basilix\n    	Mike Peters	Owner
625	bastilleunix\n    	Jay Beale	Owner
626	batallanaval\n    	Ricardo Quesada	Owner
628	batik\n    	Cameron McCormack	Owner
629	droidbattles\n    	Bluefire	Owner
632	baudline\n    	Sigfried Blip	Owner
634	bawt\n    	Dan Fraser (Optic)	Owner
635	bayonne\n    	David Sugar	Owner
638	bbbs\n    	Kim Heino	Owner
639	bbclone\n    	wavman	Owner
640	bbdb\n    	Waider	Owner
644	bbkeys\n    	Jason 'vanRijn' Kasper	Owner
649	bbs100\n    	Walter	Owner
657	bchunk\n    	Heikki Hannikainen	Owner
658	bclf\n    	Perry Harrington	Owner
661	bcwipe\n    	linux	Owner
662	bday\n    	Jan Schaumann	Owner
667	beam-back\n    	beam-back	Owner
670	beancounter\n    	Dirk Eddelbuettel	Owner
671	beastbse\n    	Tim Janik	Owner
671	beastbse\n    	Alper Ersoy	maintainer
672	beatmonkey\n    	Michael Pruett	Owner
674	beaver\n    	Emmanuel Turquin	Owner
674	beaver\n    	Michael Terry	Maintainer
674	beaver\n    	Skypher	Maintainer
678	beecrypt\n    	Bob Deblier	Owner
681	beep\n    	Johnath	Owner
682	beepage\n    	UMich RSUG	Owner
686	behemotgraphicseditor\n    	Sergio Perani	Owner
687	belgian-howto\n    	Dag Wieers	Owner
688	belt\n    	Max Zomborszki	Owner
689	benback\n    	Ben Hartshorne	Owner
691	beonex-comm\n    	Beonex	Owner
694	berkeleydb\n    	Gregory Burd	Owner
697	fresco\n    	Stefan Seefeld	Owner
701	betaftpd\n    	Sesse	Owner
704	bew\n    	DaveSource	Owner
707	bfbtester-bruteforcebinarytester\n    	Mike Heffner	Owner
708	buffer\n    	Paranoid	Owner
712	bftpd\n    	Slicer	Owner
715	biabam\n    	Mads Martin Jørgensen	Owner
716	bib2html\n    	sgalland	Owner
719	bibletime\n    	Martin Gruner	Owner
719	bibletime\n    	eelik	Project Manager
721	bibcursed\n    	Dominic	Owner
722	bicycleridecaloriecalculator\n    	Greg Kondrasuk	Owner
723	bidwatcher\n    	bushing	Owner
723	bidwatcher\n    	kevin	Owner
724	biew\n    	Nick Kurshev	Owner
728	bigbrother\n    	minitru	Owner
730	bigsam\n    	Gezzed	Owner
731	bigsis\n    	Thomas Aeby	Owner
732	bb\n    	cp	Owner
734	bigforthminos\n    	Bernd Paysan	Owner
735	biggles\n    	Mike Nolta	Owner
736	bigloo\n    	Serrano	Owner
740	bigwig\n    	Anders Møller	Owner
754	binutils\n    	Dagobert Michelsen	Owner
755	biojava\n    	Thomas Down	Owner
757	bioperl\n    	Jason Stajich	Owner
757	bioperl\n    	ewanb	administrator
759	bird\n    	Ondrej Feela Filip	Maintainer
759	bird\n    	Martin Mares	Owner
764	bitvector\n    	Steffen Beyer	Owner
765	bitchx\n    	sin	Owner
765	bitchx\n    	dovee	Project Communications & Doc Support
765	bitchx\n    	ice-man	Source project support
765	bitchx\n    	Dragoon	Doc Support
768	bitkeeper\n    	Larry McVoy	Owner
773	bkmrkconv\n    	Andrew Flegg	Owner
776	blackarts\n    	Chris Dent	Owner
778	blackbox\n    	Shaleh	Owner
785	bladeenc\n    	TordJ	Owner
804	blq\n    	Chip Rosenthal	Owner
806	bluecatlinux\n    	LynuxWorks Webmaster	Owner
808	bluefish\n    	Olivier Sessink	Owner
808	bluefish\n    	Daniel Blair	Admin
809	bluej\n    	bruceq	developer
809	bluej\n    	Michael Kölling	owner
810	bluelava\n    	Ian Wilkinson	Owner
815	bluetile\n    	Peter Kleiweg	Owner
818	bm2html\n    	rafferty	Owner
831	boa\n    	Jonathon Nelson	Owner
832	boa-constructor\n    	Riaan	Owner
835	bobobot\n    	Bill Kendrick, New Breed Software	Owner
836	bobomail\n    	Henning	Owner
837	bobotpp\n    	unknown_lamer	Owner
838	bochs\n    	Timothy R. Butler	Owner
839	boclient\n    	Dobrica Pavlinusic	Owner
847	bomberinstinct\n    	Louis Gesbert	Owner
848	bomberman\n    	Michel MAC WING	Owner
851	bonnie\n    	etbe	Owner
863	bootlogo\n    	Jan Willem	Owner
866	bootrip\n    	Brent	Owner
867	bootroot\n    	Jonathan Rosenbaum	Owner
870	boson\n    	Thomas Capricelli	Owner
870	boson\n    	Andi	lead dev
877	boxes\n    	Thomas Jensen	Owner
880	bpowerd\n    	Christopher A. Craig	Owner
882	brahms\n    	Jan Wuerthner	Owner
883	brain\n    	Manuel Tomis	Owner
884	bsp-initrd\n    	Michal Moskal	Owner
887	bras\n    	Harald Kirsch	Owner
888	breloc\n    	Dave Dykstra	Owner
898	brix\n    	Markus Peter	Owner
899	brl\n    	brlewis	Owner
900	brl-cad\n    	BRL-CAD	Owner
900	brl-cad\n    	Erik Greenwald	Core Developer
901	brltty\n    	Dave Mielke	Owner
908	browserexpress\n    	PSS	Owner
910	bru\n    	pchrist	Owner
917	bsp\n    	Colin Phipps	Owner
921	btn4ws_pl\n    	Jan Dittberner	Owner
922	bttvgrab\n    	Jörg Walter	Owner
924	bubblemon4gnome\n    	Juan Salaverria	Owner of the Gnome2 port
924	bubblemon4gnome\n    	Walles	Owner
927	buf\n    	merlin	Owner
929	bugsquish\n    	Bill Kendrick, New Breed Software	Owner
935	bugtrack\n    	agstools	Owner
936	bugzilla\n    	Dave Miller	Owner
