#  file: owProjTopic2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM ow_project_topic
#  WHERE datasource_id=220
#  ORDER BY proj_unixname
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	code	description	date_collected	datasource_id
paje	47	Debuggers	2010-05-03 15:36:37	220
pargres	66	Database	2010-05-03 15:36:37	220
perseus	67	Database Engines/Servers	2010-05-03 15:36:37	220
perseus	148	Logging	2010-05-03 15:36:37	220
petals	87	Internet	2010-05-03 15:36:37	220
petals	150	Networking	2010-05-03 15:36:37	220
petalsmaster	93	Indexing/Search	2010-05-03 15:36:37	220
rubbos	138	Benchmark	2010-05-03 15:36:38	220
rubis	138	Benchmark	2010-05-03 15:36:38	220
scarbo	234	Other/Nonlisted Topic	2010-05-03 15:36:38	220
shark	129	Office/Business	2010-05-03 15:36:38	220
shark	45	Software Development	2010-05-03 15:36:38	220
snapper	89	File Transfer Protocol (FTP)	2010-05-03 15:36:38	220
snapper	93	Indexing/Search	2010-05-03 15:36:38	220
snapper	243	Site Management	2010-05-03 15:36:38	220
sofa	45	Software Development	2010-05-03 15:36:38	220
spagic	150	Networking	2010-05-03 15:36:38	220
spagic	45	Software Development	2010-05-03 15:36:38	220
spagic	87	Internet	2010-05-03 15:36:38	220
spago	45	Software Development	2010-05-03 15:36:38	220
spago4q	66	Database	2010-05-03 15:36:38	220
spago4q	129	Office/Business	2010-05-03 15:36:38	220
spago4q	45	Software Development	2010-05-03 15:36:38	220
spagobi	66	Database	2010-05-03 15:36:38	220
spagobi	129	Office/Business	2010-05-03 15:36:38	220
spagobi	45	Software Development	2010-05-03 15:36:38	220
speedo	68	Front-Ends	2010-05-03 15:36:38	220
starwebservice	45	Software Development	2010-05-03 15:36:38	220
stock-online	138	Benchmark	2010-05-03 15:36:38	220
telosys	259	Code Generators	2010-05-03 15:36:38	220
tess	133	Artificial Intelligence	2010-05-03 15:36:38	220
tess	45	Software Development	2010-05-03 15:36:38	220
think	144	Operating System Kernels	2010-05-03 15:36:38	220
wildcat	45	Software Development	2010-05-03 15:36:38	220
wildcat	152	Monitoring	2010-05-03 15:36:38	220
xmlc	45	Software Development	2010-05-03 15:36:38	220
xmlc	96	CGI Tools/Libraries	2010-05-03 15:36:38	220
xplus	66	Database	2010-05-03 15:36:38	220
xplus	87	Internet	2010-05-03 15:36:38	220
xquare	66	Database	2010-05-03 15:36:38	220
xquare	45	Software Development	2010-05-03 15:36:38	220
xservice	87	Internet	2010-05-03 15:36:38	220
xwiki	92	Dynamic Content	2010-05-03 15:36:38	220
zeus	45	Software Development	2010-05-03 15:36:38	220
