#  file: fmRawProjectLicense2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, license
#  FROM fm_projects
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	license
319	apache-compile-howto\n    	FDL\n    
320	apalogfilter\n    	GPL\n    
322	apc-aa\n    	GPL\n    
325	apccomm\n    	GPL\n    
326	apcupsd\n    	GPL\n    
329	aphid\n    	Clarified Artistic\n    
330	aphrodite\n    	MPL\n    
331	apirc\n    	\n    
333	aplus\n    	GPL\n    
335	apmiser\n    	GPL\n    
338	app\n    	GPL\n    
340	anywhereoffice\n    	Other\n    
341	applixwareperlapi\n    	\n    
345	april\n    	GPL\n    
347	aps\n    	GPL\n    
348	apsr\n    	Other\n    
349	apsfilter\n    	GPL\n    
353	apt-proxy\n    	GPL\n    
356	aquarium\n    	BSD Original\n    
357	arabeske\n    	GPL\n    
358	arachnebrowser\n    	\n    
359	arad-onetable-editor\n    	Public Domain\n    
360	arc\n    	BSD Original\n    
362	arcem\n    	GPL\n    
364	archivezip\n    	Artistic\n    
367	argante\n    	LGPL\n    
368	argouml\n    	BSD Original\n    
369	argtable\n    	LGPL\n    
372	arisyahooclient\n    	GPL\n    
374	ariadne\n    	GPL\n    
375	arianne\n    	GPL\n    
376	arkeiaanb\n    	\n    
378	arla\n    	BSD Original\n    
381	armed\n    	GPL\n    
383	armymaker\n    	Artistic\n    
385	arping\n    	GPL\n    
386	arpoison\n    	GPL\n    
389	arrow\n    	\n    
394	artecas6escannerdriver\n    	GPL\n    
395	astyle\n    	GPL\n    
397	arts\n    	GPL\n    
398	arts++\n    	GPL\n    
399	artstream\n    	Other\n    
400	as-gps\n    	LGPL\n    
402	asapm\n    	GPL\n    
403	asbutton\n    	GPL\n    
404	ascd\n    	GPL\n    
405	ascii\n    	GPL\n    
406	aaprint\n    	GPL\n    
408	ascii2pdf\n    	GPL\n    
409	asciiartwidget\n    	GPL\n    
412	ascpu\n    	GPL\n    
414	asexec\n    	GPL\n    
416	asforza4\n    	GPL\n    
417	asfrecorder\n    	Public Domain\n    
419	askemos\n    	GPL\n    
421	asmail\n    	GPL\n    
422	asmem\n    	GPL\n    
423	asmix\n    	GPL\n    
424	asmon\n    	GPL\n    
425	asmutils\n    	GPL\n    
426	asnews\n    	GPL\n    
428	asp2php\n    	GPL\n    
429	aspell\n    	LGPL\n    
430	aspell-da\n    	GPL\n    
431	asplinux\n    	GPL\n    
432	aspseek\n    	GPL\n    
437	ast\n    	\n    
439	astaropsd\n    	GPL\n    
440	asl\n    	Free for non-commercial use\n    
442	asterisk\n    	GPL\n    
443	asteroids3d\n    	GPL\n    
445	astime\n    	GPL\n    
446	astroconst\n    	\n    
450	atarux\n    	GPL\n    
453	aterm\n    	GPL\n    
455	athene\n    	Freeware\n    
459	atiswiki\n    	GPL\n    
464	aubng\n    	GPL\n    
465	audiofilelibrary\n    	LGPL\n    
466	audio-entropyd\n    	GPL\n    
467	audiodsp\n    	Artistic\n    
468	audiocdweb\n    	GPL\n    
470	audiocutter\n    	GPL\n    
471	audiogalaxysatellite\n    	\n    
472	audiomixer\n    	Freeware\n    
473	audit\n    	GPL\n    
477	etsre\n    	GPL\n    
478	august\n    	GPL\n    
479	aumix\n    	GPL\n    
482	austinpm\n    	GPL\n    
483	authensmb\n    	GPL\n    
484	authenticatedusercommunity\n    	GPL\n    
485	authforce\n    	GPL\n    
486	authlocal\n    	GPL\n    
488	auth_ldap\n    	Apache\n    
489	automanager\n    	Other\n    
490	and\n    	GPL\n    
495	autoclose\n    	GPL\n    
496	autoconf\n    	GPL\n    
498	autoconvert\n    	GPL\n    
500	autodns\n    	GPL\n    
501	autofs\n    	GPL\n    
502	autofscdchanger\n    	GPL\n    
504	autogen\n    	GPL\n    
507	autojot\n    	GPL\n    
508	autolame\n    	GPL\n    
