#  file: rfDevProjects2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, dev_loginname, is_admin, position, date_collected, datasource_id
#  FROM rf_developer_projects
#  WHERE datasource_id=219
#  ORDER BY proj_unixname, dev_loginname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	dev_loginname	is_admin	position	date_collected	datasource_id
activedirectory	filefrog	1	Admin	2010-05-03 15:14:56	219
activedirectory	jmecham	0	Senior Developer	2010-05-03 15:14:56	219
activediscogs	stigi	1	Admin	2010-05-03 15:14:59	219
activedocument	sroske	1	Default	2010-05-03 15:15:04	219
activefacebook	drummr77	1	Default	2010-05-03 15:15:12	219
activefacts	cdouglas	0	Senior Developer	2010-05-03 15:15:16	219
activefacts	cjheath	1	Default	2010-05-03 15:15:16	219
activeferret	ahfeel	1	Default	2010-05-03 15:15:21	219
activefixture	sr3d	1	Default	2010-05-03 15:15:25	219
activeflow	fredv	1	Admin	2010-05-03 15:15:29	219
activeform	loobmedia	1	Default	2010-05-03 15:15:33	219
activegraph	kazjote2	1	Default	2010-05-03 15:15:36	219
activelocale	tekmon	1	Default	2010-05-03 15:15:41	219
activemdb	automatthew	1	Default	2010-05-03 15:15:45	219
activemerchant	cfauser	1	Admin	2010-05-03 15:15:47	219
activemerchant	xal	1	Default	2010-05-03 15:15:48	219
activemigration	mattlins	1	Default	2010-05-03 15:15:52	219
activeobject	fengfirst	1	Default	2010-05-03 15:15:56	219
activeotp	rcalco	1	Default	2010-05-03 15:16:01	219
activepoint	axyd80	1	Default	2010-05-03 15:16:05	219
activepresenter	subelsky	1	Default	2010-05-03 15:16:10	219
activeprocess	liuu	1	Default	2010-05-03 15:16:13	219
activerdf	ikbeneyal	1	Admin	2010-05-03 15:16:16	219
activerdf	metaman	0	Senior Developer	2010-05-03 15:16:16	219
activerdf	michaeldiamond	1	Admin	2010-05-03 15:16:16	219
activerdf-rules	pjstadig	1	Default	2010-05-03 15:16:19	219
activerdfagraph	emk	1	Default	2010-05-03 15:16:24	219
activerdoc	alloy	1	Default	2010-05-03 15:16:29	219
activerecord	bitsweat	1	Admin	2010-05-03 15:16:32	219
activerecord	webster132	1	Default	2010-05-03 15:16:32	219
activereload	technoweenie	1	Default	2010-05-03 15:16:35	219
activereload	xal	1	Admin	2010-05-03 15:16:35	219
activeresource	bitsweat	1	Admin	2010-05-03 15:16:39	219
activeresource	webster132	1	Default	2010-05-03 15:16:39	219
activeresources	lonestar	1	Admin	2010-05-03 15:16:42	219
activerest	blizzo	1	Default	2010-05-03 15:16:46	219
activerest	devonjones	1	Admin	2010-05-03 15:16:46	219
activerest	sbeckeriv	1	Admin	2010-05-03 15:16:46	219
activerevver	garrydolley	1	Default	2010-05-03 15:16:49	219
activerubic	lamikae	1	Admin	2010-05-03 15:16:53	219
activesearch	adhair	1	Admin	2010-05-03 15:16:56	219
activesearch	ahzz	1	Admin	2010-05-03 15:16:56	219
activesesame	mwarnock	1	Default	2010-05-03 15:17:00	219
activesfdc	apexsutherland	1	Project Lead	2010-05-03 15:17:03	219
activesfdc	dchasman	1	Project Lead	2010-05-03 15:17:03	219
activesfdc	itsderek23	0	Doc Writer	2010-05-03 15:17:03	219
activesfdc	littleears	1	Project Lead	2010-05-03 15:17:03	219
activesfdc	luigimontanez	1	Project Lead	2010-05-03 15:17:03	219
activesimpledb	sai_venkat	1	Default	2010-05-03 15:17:07	219
activesms	catch23	0	Senior Developer	2010-05-03 15:17:10	219
activesms	esomnie	0	Senior Developer	2010-05-03 15:17:10	219
activesms	rgcottrell	1	Default	2010-05-03 15:17:10	219
activesocial	blankman	1	Default	2010-05-03 15:17:14	219
activespec	lukeredpath	1	Default	2010-05-03 15:17:17	219
activesupport	bitsweat	1	Admin	2010-05-03 15:17:20	219
activesupport	webster132	1	Default	2010-05-03 15:17:20	219
activesurvey	drinkingbird	1	Default	2010-05-03 15:17:24	219
activesvn	jsnx	1	Default	2010-05-03 15:17:28	219
activetally	gregspurrier	1	Default	2010-05-03 15:17:32	219
activetest	mabs29	1	Default	2010-05-03 15:17:35	219
activetokyocabi	winebarrel	1	Default	2010-05-03 15:17:45	219
activevideo	washu137	1	Default	2010-05-03 15:17:53	219
activewarehouse	aeden	1	Admin	2010-05-03 15:17:56	219
activewarehouse	mghaught	0	Senior Developer	2010-05-03 15:17:56	219
activewarehouse	mrbauer1	0	Senior Developer	2010-05-03 15:17:56	219
activewarehouse	sethladd	0	Senior Developer	2010-05-03 15:17:56	219
activewarehouse	thbar	0	Senior Developer	2010-05-03 15:17:56	219
activewarehouse	wenyizhou	0	Senior Developer	2010-05-03 15:17:56	219
activeyahoo	csummers	1	Default	2010-05-03 15:18:01	219
activeyoutube	nakula	1	Default	2010-05-03 15:18:05	219
