#  file: fsfProjectRequirements2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.requirement, pi.requirement_type, pi.datasource_id 
#  FROM fsf_project_requirements pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.requirement
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	requirement	requirement_type	datasource_id
3908	affinity	gnome-vfs-2.0	Build Prerequisite	221
3908	affinity	gtk+2.0 &gt;=2.10	Build Prerequisite	221
3908	affinity	libgnome	Build Prerequisite	221
3907	afick-Webmin	Perl	Use Requirement	221
3907	afick-Webmin	Webmin	Use Requirement	221
5280	AFR	X-Chat	Use Requirement	221
5279	AFT	autoconf	Build Prerequisite	221
5279	AFT	automake	Build Prerequisite	221
5279	AFT	Perl 5.6 or later	Use Requirement	221
5253	AfterStepclockapplet	GTK+	Use Requirement	221
3903	agave	Boost	Build Prerequisite	221
3903	agave	gconfmm &gt;=2.6	Build Prerequisite	221
3903	agave	gtkmm &gt;=2.8	Build Prerequisite	221
3903	agave	libgnomeui &gt;=2.0	Build Prerequisite	221
3901	agnostos	Apache	1.3.9 or later	221
3901	agnostos	MySQL	3.22.27 or later	221
3901	agnostos	perl 5.005_03	or later	221
5278	AGT	iptables	Source Requirement	221
3900	aide	cron	Weak Prerequisite	221
3900	aide	debconf	for Debian packages	221
3900	aide	mailx	Weak Prerequisite	221
3897	aiocp	MySQL	Use Requirement	221
3897	aiocp	PHP	Use Requirement	221
3897	aiocp	Web Server	Use Requirement	221
5252	AirTraffic	Client: Python 2.1.1. or later	Use Requirement	221
5252	AirTraffic	GNOME	Use Requirement	221
5252	AirTraffic	orbit	Use Requirement	221
5252	AirTraffic	python-gnome; Server: Python 2.1.1. or later	Use Requirement	221
5252	AirTraffic	python-gtk	Use Requirement	221
5252	AirTraffic	python-orbit	Use Requirement	221
3951	aITALC	DIANA	Build Prerequisite	221
3951	aITALC	FORM	Build Prerequisite	221
3951	aITALC	FORTRAN	Build Prerequisite	221
3951	aITALC	GNU Make	Build Prerequisite	221
3951	aITALC	LOOPTOOLS	Build Prerequisite	221
3951	aITALC	TEDI	DIANA topology editor	221
5277	AKFQuiz	apache...)	Weak Prerequisite	221
5277	AKFQuiz	cgiquiz: CGI-capable web-server	boa (Weak Prerequisite	221
5277	AKFQuiz	diaquiz: Xdialog	Weak Prerequisite	221
5277	AKFQuiz	Free Pascal 2.0 *or* GNU-Pascal	Use Requirement	221
5277	AKFQuiz	grquiz: libSDL or GRX	Weak Prerequisite	221
5277	AKFQuiz	mkquiz: Web browser with JavaScript 1.5	Weak Prerequisite	221
3894	akregator	kdelibs	Use Requirement	221
3894	akregator	kdepim	Weak Prerequisite	221
3894	akregator	kontact	Weak Prerequisite	221
3894	akregator	Qt	Use Requirement	221
3891	aldo	gcc 3.x or later	Build Prerequisite	221
5276	ALE	gcc 3.2.3 or later with C++ support	Build Prerequisite	221
5276	ALE	gnu make 3.80 or later	Build Prerequisite	221
3887	alfandega	iptables	Use Requirement	221
3887	alfandega	Perl	Use Requirement	221
5251	Algol68G	Curses	Weak Prerequisite	221
5251	Algol68G	GNU Plotutils version 2.4.1 or later	allows for drawing from Algol 68	221
5251	Algol68G	POSIX Threads	Weak Prerequisite	221
3886	aliaslu	qmail	Use Requirement	221
3885	alien	debhelper	all for converting to Debian packages; Red Hat Pac	221
3885	alien	dpkg	Weak Prerequisite	221
3885	alien	dpkg-dev	Weak Prerequisite	221
3885	alien	Perl 5.004 or later	Use Requirement	221
3883	align	Perl	Use Requirement	221
3882	alist	Perl 5.6.0 or later	Use Requirement	221
3882	alist	Perl modules CGI and Storable	Use Requirement	221
3882	alist	Web server	Use Requirement	221
5250	AllCommerce	etc.)	Use Requirement	221
5250	AllCommerce	libwww-perl library	required for cookieless shopping	221
5250	AllCommerce	perl 5.005 or later	Use Requirement	221
5250	AllCommerce	PostGres	Use Requirement	221
5250	AllCommerce	rsync	Weak Prerequisite	221
5250	AllCommerce	SQL-type database engine	MySQL (Use Requirement	221
5250	AllCommerce	ssh	Weak Prerequisite	221
3880	allegro	autoconf	Build Prerequisite	221
3880	allegro	svgalib	Weak Prerequisite	221
3880	allegro	xlib6g	Weak Prerequisite	221
3876	alogg	allegro-4.0.0	Use Requirement	221
3876	alogg	libcurl 7.10 or later	to compile with URL support	221
3876	alogg	libogg-1.0rc3	Use Requirement	221
3876	alogg	libvorbis-1.0rc3	Use Requirement	221
3876	alogg	pthreads	to compile with streaming thread support	221
3874	alpy	Allegro	Build Prerequisite	221
3874	alpy	Python	Use Requirement	221
3871	althea	Openssl	Weak Prerequisite	221
3867	amaroK	aRts 1.0.5	Use Requirement	221
3867	amaroK	gstreamer 0.6.4 or later	Weak Prerequisite	221
3867	amaroK	KDE 2.2 or later	Use Requirement	221
3867	amaroK	taglib 1.0 or later	Use Requirement	221
5275	AMaViS	Archive::Tar	Use Requirement	221
5275	AMaViS	Archive::Zip	Use Requirement	221
5275	AMaViS	Clam Antivirus	Weak Prerequisite	221
5275	AMaViS	Compress::Zlib	Use Requirement	221
5275	AMaViS	Config::IniFiles	Use Requirement	221
5275	AMaViS	Convert::TNEF	Use Requirement	221
5275	AMaViS	Convert::UUlib	Use Requirement	221
5275	AMaViS	Exim	Weak Prerequisite	221
5275	AMaViS	File::MMagic	Use Requirement	221
5275	AMaViS	File::Scan	Weak Prerequisite	221
5275	AMaViS	MIME::Tools	Use Requirement	221
5275	AMaViS	Postfix	Weak Prerequisite	221
5275	AMaViS	qmail 1.03	Weak Prerequisite	221
5275	AMaViS	sendmail	Weak Prerequisite	221
5275	AMaViS	sophie	Weak Prerequisite	221
3862	ampache	MySQL 4.0	Use Requirement	221
3862	ampache	PHP 5.x	Use Requirement	221
5248	AmphetaDesk	Perl; list of required Perl modules available from	Use Requirement	221
5248	AmphetaDesk	XML	Build Prerequisite	221
