#  file: sfRawDonorsData2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseHtmlDonorsSF.pl
#
#  This particular file includes raw "Donors" data for each project 
#  that shows this info on their SF project pages. (Not every project lists this 
#  information.)
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  SELECT * FROM `project_donors` WHERE datasource_id=172
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  donor_id: the donor's name (PK)
#  date_collected: this is the date the data was inserted
#  datasource_id: when was this data gathered, and on which run? (PK)
proj_unixname	donor_id	datasource_id	date_collected
appleseed	Anonymous donor(s)	172	2009-06-11 22:12:57
appscript	hraban	172	2009-06-11 22:12:59
appscript	andreberg	172	2009-06-11 22:12:59
appscript	jsiska	172	2009-06-11 22:12:59
aqbanking	Anonymous donor(s)	172	2009-06-11 22:13:00
aqualung	Anonymous donor(s)	172	2009-06-11 22:13:00
aqualung	c72578	172	2009-06-11 22:13:00
aquamacs	ashasudeh	172	2009-06-11 22:13:00
aquamacs	ortizt	172	2009-06-11 22:13:00
aquamacs	almery	172	2009-06-11 22:13:00
aquamacs	dlevity	172	2009-06-11 22:13:00
aquamacs	tishizuk	172	2009-06-11 22:13:00
aquapalm	Anonymous donor(s)	172	2009-06-11 22:13:00
aquapalm	granador	172	2009-06-11 22:13:00
aquaterm	persquare	172	2009-06-11 22:13:01
aquaterm	Anonymous donor(s)	172	2009-06-11 22:13:01
arbaro	Anonymous donor(s)	172	2009-06-11 22:13:02
archopen	Anonymous donor(s)	172	2009-06-11 22:13:03
archopen	opeos	172	2009-06-11 22:13:03
areca-amazon-s3	jimunoz	172	2009-06-11 22:13:05
armagetronad	Anonymous donor(s)	172	2009-06-11 22:13:07
armagetronad	nemostultae	172	2009-06-11 22:13:07
armagetronad	wrtlprnft	172	2009-06-11 22:13:07
armagetronad	onearmbandit	172	2009-06-11 22:13:07
armagetronad	electricturtle	172	2009-06-11 22:13:07
asholamp	Anonymous donor(s)	172	2009-06-11 22:13:13
asnmtap	Anonymous donor(s)	172	2009-06-11 22:13:15
asp-project	Anonymous donor(s)	172	2009-06-11 22:13:15
aspam	Anonymous donor(s)	172	2009-06-11 22:13:15
aspcalendars	abaharloo999	172	2009-06-11 22:13:15
aspell	Anonymous donor(s)	172	2009-06-11 22:13:16
aspell	melonsydney	172	2009-06-11 22:13:16
aspell	linuxkiddo	172	2009-06-11 22:13:16
assp	nxn	172	2009-06-11 22:13:18
assp	cleanden	172	2009-06-11 22:13:18
assp	bsc-boss	172	2009-06-11 22:13:18
assp	wartangler	172	2009-06-11 22:13:18
assp	jimmyray7	172	2009-06-11 22:13:18
astatspro	Anonymous donor(s)	172	2009-06-11 22:13:18
asterisk-java	Anonymous donor(s)	172	2009-06-11 22:13:19
asteriskadmin	akitabright	172	2009-06-11 22:13:19
astrogrep	Anonymous donor(s)	172	2009-06-11 22:13:20
asttapi	darrendwyer	172	2009-06-11 22:13:21
asttapi	Anonymous donor(s)	172	2009-06-11 22:13:21
atunes	themat	172	2009-06-11 22:13:26
atunes	bebopalong	172	2009-06-11 22:13:26
atunes	rebski	172	2009-06-11 22:13:26
atunes	rwrey	172	2009-06-11 22:13:26
atunes	hobieorris	172	2009-06-11 22:13:26
aubit4gl	roblawrence	172	2009-06-11 22:13:26
audacity	sugi_0000	172	2009-06-11 22:13:27
audacity	vbnetmatrix	172	2009-06-11 22:13:27
audacity	abushman	172	2009-06-11 22:13:27
audacity	nizwiz	172	2009-06-11 22:13:27
audacity	tkneser	172	2009-06-11 22:13:27
audiobookcutter	Anonymous donor(s)	172	2009-06-11 22:13:27
audiobookcutter	jledv	172	2009-06-11 22:13:27
audiobookcutter	woden_	172	2009-06-11 22:13:27
audiobookcutter	hdt42	172	2009-06-11 22:13:27
audiobookcutter	unterdenlinden	172	2009-06-11 22:13:27
aufs	pmlane-ndn	172	2009-06-11 22:13:28
aufs	marshman	172	2009-06-11 22:13:28
aufs	Anonymous donor(s)	172	2009-06-11 22:13:28
aurigadoc	Anonymous donor(s)	172	2009-06-11 22:13:29
austrumi	Anonymous donor(s)	172	2009-06-11 22:13:29
austrumi	tervel	172	2009-06-11 22:13:29
authoxy-panther	Anonymous donor(s)	172	2009-06-11 22:13:30
autokey	theoa	172	2009-06-11 22:13:31
autolyrix	hifromgsf	172	2009-06-11 22:13:32
automysqlbackup	csabi23	172	2009-06-11 22:13:32
automysqlbackup	dvanzuijlekom	172	2009-06-11 22:13:32
automysqlbackup	glaures	172	2009-06-11 22:13:32
automysqlbackup	vincentcima	172	2009-06-11 22:13:32
automysqlbackup	bendriscoll	172	2009-06-11 22:13:32
autotroll	vgapnet_host	172	2009-06-11 22:13:34
autotroll	tafferjim	172	2009-06-11 22:13:34
ava-sbs	bosscha	172	2009-06-11 22:13:35
avos	Anonymous donor(s)	172	2009-06-11 22:13:36
avr-eclipse	coolerfisch	172	2009-06-11 22:13:36
avr-eclipse	j-oe	172	2009-06-11 22:13:36
awdbedit	Anonymous donor(s)	172	2009-06-11 22:13:37
awemud	Anonymous donor(s)	172	2009-06-11 22:13:38
awl-wizard	xixi31	172	2009-06-11 22:13:38
