#  file: fmRawProjectStats2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
29034	zeiberbude\n    	2.87\n    	NULL	NULL	112.19\n    	NULL	NULL	2\n    	2\n    	NULL	30\n    
29035	emacs-vvb-mode\n    	1.0\n    	NULL	NULL	12.41\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29036	xvif\n    	2.28\n    	NULL	NULL	456.59\n    	NULL	NULL	1\n    	1\n    	NULL	8\n    
29038	easypass\n    	0.0\n    	NULL	NULL	11.05\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29039	webfish-linux\n    	3.43\n    	NULL	NULL	123.18\n    	NULL	NULL	0\n    	0\n    	NULL	26\n    
29040	procviewer\n    	2.27\n    	NULL	NULL	64.31\n    	NULL	NULL	0\n    	1\n    	NULL	21\n    
29041	vbnntp\n    	1.81\n    	NULL	NULL	24.58\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29044	bcpp\n    	6.84\n    	NULL	NULL	70.88\n    	NULL	NULL	0\n    	1\n    	NULL	7\n    
29046	reversi\n    	1.0\n    	NULL	NULL	16.43\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29049	collective\n    	1.0\n    	NULL	NULL	43.19\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29051	apollo\n    	1.46\n    	NULL	NULL	71.69\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
29052	pydime\n    	1.73\n    	NULL	NULL	21.7\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29058	ruby-evas\n    	1.0\n    	NULL	NULL	9.85\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29064	ddpo\n    	1.0\n    	NULL	NULL	33.76\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29065	betsie\n    	1.0\n    	NULL	NULL	48.34\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29067	compress\n    	1.0\n    	NULL	NULL	17.55\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29068	xvi\n    	1.0\n    	NULL	NULL	24.41\n    	NULL	NULL	1\n    	1\n    	NULL	1\n    
29071	nbfs\n    	1.0\n    	NULL	NULL	27.55\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29074	guess_install\n    	3.94\n    	NULL	NULL	18.22\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29075	apache-filemanager\n    	2.55\n    	NULL	NULL	185.83\n    	NULL	NULL	2\n    	4\n    	NULL	26\n    
29076	contentionprofiler\n    	1.0\n    	NULL	NULL	41.71\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29077	phpsquidpass\n    	2.68\n    	NULL	NULL	64.12\n    	NULL	NULL	1\n    	1\n    	NULL	15\n    
29078	offlineimap\n    	24.94\n    	NULL	NULL	458.37\n    	NULL	NULL	13\n    	13\n    	NULL	114\n    
29079	rezound\n    	4.14\n    	NULL	NULL	126.93\n    	NULL	NULL	9\n    	9\n    	NULL	37\n    
29082	idms-linux\n    	8.62\n    	NULL	NULL	92.71\n    	NULL	NULL	2\n    	2\n    	NULL	14\n    
29084	standardtaglib\n    	1.0\n    	NULL	NULL	47.6\n    	NULL	NULL	2\n    	2\n    	NULL	10\n    
29091	dir2xml\n    	1.42\n    	NULL	NULL	51.46\n    	NULL	NULL	0\n    	0\n    	NULL	7\n    
29092	cdialog\n    	138.21\n    	NULL	NULL	347.23\n    	NULL	NULL	3\n    	3\n    	NULL	45\n    
29100	tivo_mail\n    	1.0\n    	NULL	NULL	37.32\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29101	coinflip\n    	0.0\n    	NULL	NULL	11.66\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29102	rc5pipe\n    	1.0\n    	NULL	NULL	24.98\n    	NULL	NULL	0\n    	0\n    	NULL	7\n    
29103	cxxtest\n    	7.99\n    	NULL	NULL	139.57\n    	NULL	NULL	1\n    	1\n    	NULL	39\n    
29105	tex-refs\n    	6.16\n    	NULL	NULL	151.66\n    	NULL	NULL	0\n    	0\n    	NULL	61\n    
29110	viruswriting\n    	2.56\n    	NULL	NULL	167.41\n    	NULL	NULL	2\n    	3\n    	NULL	58\n    
29113	plexlotto\n    	1.0\n    	NULL	NULL	13.3\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29115	simplephotogallery\n    	2.2\n    	NULL	NULL	58.65\n    	NULL	NULL	1\n    	1\n    	NULL	7\n    
29118	care2002\n    	2.64\n    	NULL	NULL	168.08\n    	NULL	NULL	4\n    	6\n    	NULL	27\n    
29120	anna\n    	3.83\n    	NULL	NULL	122.85\n    	NULL	NULL	0\n    	0\n    	NULL	26\n    
29121	sxtools\n    	1.0\n    	NULL	NULL	18.22\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29127	terracotta\n    	1.0\n    	NULL	NULL	69.43\n    	NULL	NULL	0\n    	3\n    	NULL	19\n    
29128	gaim-e\n    	1.42\n    	NULL	NULL	77.25\n    	NULL	NULL	0\n    	0\n    	NULL	16\n    
29131	zinf\n    	1.95\n    	NULL	NULL	153.92\n    	NULL	NULL	16\n    	21\n    	NULL	52\n    
29132	bar\n    	1.0\n    	NULL	NULL	60.22\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
29134	axion\n    	1.52\n    	NULL	NULL	65.8\n    	NULL	NULL	2\n    	2\n    	NULL	8\n    
29136	friends\n    	1.0\n    	NULL	NULL	13.27\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29137	reality\n    	2.05\n    	NULL	NULL	29.73\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29141	dmwebmail\n    	6.88\n    	NULL	NULL	99.42\n    	NULL	NULL	0\n    	0\n    	NULL	27\n    
29142	tablelayout\n    	0.0\n    	NULL	NULL	18.65\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29144	docindex\n    	1.74\n    	NULL	NULL	34.42\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29146	icecc\n    	5.76\n    	NULL	NULL	193.18\n    	NULL	NULL	2\n    	3\n    	NULL	29\n    
29148	freefactor\n    	1.0\n    	NULL	NULL	27.64\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29154	staff\n    	1.0\n    	NULL	NULL	16.94\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29155	mysql_db\n    	1.43\n    	NULL	NULL	49.72\n    	NULL	NULL	0\n    	0\n    	NULL	7\n    
29158	icontrol\n    	1.42\n    	NULL	NULL	45.76\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29159	plotlib\n    	1.93\n    	NULL	NULL	33.67\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29160	dudusdl\n    	1.0\n    	NULL	NULL	21.07\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29161	gscanbus\n    	1.0\n    	NULL	NULL	74.83\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29163	uclibclinux\n    	1.0\n    	NULL	NULL	34.79\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29165	openrct\n    	4.35\n    	NULL	NULL	124.25\n    	NULL	NULL	0\n    	0\n    	NULL	30\n    
29168	simplefirewall\n    	2.26\n    	NULL	NULL	85.8\n    	NULL	NULL	0\n    	0\n    	NULL	17\n    
29169	rfsync\n    	1.45\n    	NULL	NULL	32.56\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29170	netacct-netstat\n    	4.46\n    	NULL	NULL	97.28\n    	NULL	NULL	4\n    	4\n    	NULL	27\n    
29176	alumni-online\n    	3.91\n    	NULL	NULL	84.97\n    	NULL	NULL	2\n    	2\n    	NULL	19\n    
29179	mod_ifenv\n    	1.0\n    	NULL	NULL	20.98\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29182	makinbakon\n    	2.36\n    	NULL	NULL	57.97\n    	NULL	NULL	4\n    	4\n    	NULL	13\n    
29183	anthillbm\n    	1.46\n    	NULL	NULL	62.44\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29184	xpb4j\n    	1.0\n    	NULL	NULL	29.1\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29185	gaudi\n    	4.05\n    	NULL	NULL	290.06\n    	NULL	NULL	3\n    	4\n    	NULL	70\n    
29186	p5-ipa\n    	1.45\n    	NULL	NULL	56.39\n    	NULL	NULL	0\n    	0\n    	NULL	11\n    
29187	doompsxsound\n    	1.0\n    	NULL	NULL	48.47\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29188	jcomm\n    	1.0\n    	NULL	NULL	43.79\n    	NULL	NULL	1\n    	1\n    	NULL	6\n    
29190	plans\n    	55.12\n    	NULL	NULL	839.11\n    	NULL	NULL	23\n    	24\n    	NULL	299\n    
29192	prtdiag\n    	1.79\n    	NULL	NULL	67.86\n    	NULL	NULL	0\n    	0\n    	NULL	14\n    
29201	dimepp\n    	1.41\n    	NULL	NULL	25.53\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29202	parprouted\n    	6.18\n    	NULL	NULL	162.67\n    	NULL	NULL	2\n    	2\n    	NULL	34\n    
29210	tkvoice\n    	2.23\n    	NULL	NULL	60.79\n    	NULL	NULL	0\n    	0\n    	NULL	20\n    
29211	rcheck\n    	1.8\n    	NULL	NULL	52.34\n    	NULL	NULL	0\n    	0\n    	NULL	10\n    
29214	libcisco\n    	2.01\n    	NULL	NULL	76.21\n    	NULL	NULL	2\n    	2\n    	NULL	15\n    
29224	adeos4linux\n    	1.48\n    	NULL	NULL	27.75\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29225	wlame\n    	2.06\n    	NULL	NULL	95.05\n    	NULL	NULL	1\n    	1\n    	NULL	4\n    
29228	toska\n    	1.42\n    	NULL	NULL	75.12\n    	NULL	NULL	0\n    	0\n    	NULL	18\n    
29232	sms-meny\n    	1.41\n    	NULL	NULL	16.88\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29234	ipv6calc\n    	2.07\n    	NULL	NULL	102.59\n    	NULL	NULL	1\n    	1\n    	NULL	11\n    
29235	pdbv\n    	5.79\n    	NULL	NULL	133.64\n    	NULL	NULL	1\n    	1\n    	NULL	37\n    
29243	javadoxml\n    	1.0\n    	NULL	NULL	53.48\n    	NULL	NULL	0\n    	0\n    	NULL	10\n    
29244	coc\n    	4.15\n    	NULL	NULL	111.62\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29248	hafiye\n    	1.0\n    	NULL	NULL	26.65\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29249	nsclspectcl\n    	6.72\n    	NULL	NULL	82.05\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29250	jukex\n    	2.01\n    	NULL	NULL	45.79\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
29253	image2wav\n    	0.0\n    	NULL	NULL	16.37\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29256	mlurlslave\n    	1.0\n    	NULL	NULL	21.91\n    	NULL	NULL	2\n    	2\n    	NULL	2\n    
29257	woproject\n    	1.0\n    	NULL	NULL	45.83\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29267	dixie\n    	0.0\n    	NULL	NULL	52.92\n    	NULL	NULL	0\n    	1\n    	NULL	7\n    
29279	e-xml\n    	1.42\n    	NULL	NULL	40.99\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29280	knoga\n    	1.0\n    	NULL	NULL	17.66\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29282	ampoliros\n    	6.21\n    	NULL	NULL	149.06\n    	NULL	NULL	2\n    	3\n    	NULL	68\n    
29283	dateshift\n    	3.44\n    	NULL	NULL	39.24\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29286	gengen\n    	13.23\n    	NULL	NULL	99.12\n    	NULL	NULL	1\n    	1\n    	NULL	24\n    
29287	ldapsh\n    	3.51\n    	NULL	NULL	82.66\n    	NULL	NULL	0\n    	0\n    	NULL	27\n    
29288	wmacpimon\n    	2.05\n    	NULL	NULL	97.68\n    	NULL	NULL	0\n    	1\n    	NULL	12\n    
29293	sdl_sopwith\n    	2.13\n    	NULL	NULL	76.07\n    	NULL	NULL	2\n    	2\n    	NULL	10\n    
29295	funiter\n    	18.79\n    	NULL	NULL	128.05\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29296	ffproxy\n    	4.38\n    	NULL	NULL	111.57\n    	NULL	NULL	2\n    	2\n    	NULL	26\n    
29307	hg_regexp\n    	1.0\n    	NULL	NULL	8.06\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29310	wmmultipop3\n    	1.45\n    	NULL	NULL	33.32\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29312	dsql\n    	1.0\n    	NULL	NULL	46.6\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29313	cdpr\n    	23.23\n    	NULL	NULL	293.69\n    	NULL	NULL	1\n    	1\n    	NULL	47\n    
29314	dwarf\n    	2.78\n    	NULL	NULL	41.74\n    	NULL	NULL	0\n    	0\n    	NULL	12\n    
29315	cherrypy\n    	5.1\n    	NULL	NULL	85.19\n    	NULL	NULL	4\n    	5\n    	NULL	37\n    
29317	openratings\n    	2.27\n    	NULL	NULL	51.7\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
29318	ri\n    	1.0\n    	NULL	NULL	25.3\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29319	gaim-irc-nick\n    	1.0\n    	NULL	NULL	26.61\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29320	neohelper\n    	2.7\n    	NULL	NULL	110.45\n    	NULL	NULL	13\n    	14\n    	NULL	19\n    
29321	ldap2nis\n    	1.0\n    	NULL	NULL	63.92\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29322	vmwaregpl\n    	1.92\n    	NULL	NULL	94.79\n    	NULL	NULL	0\n    	0\n    	NULL	14\n    
29323	slt\n    	1.66\n    	NULL	NULL	38.16\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29324	netstat-nat\n    	6.47\n    	NULL	NULL	252.67\n    	NULL	NULL	3\n    	3\n    	NULL	79\n    
29325	nfmca\n    	1.0\n    	NULL	NULL	11.27\n    	NULL	NULL	1\n    	1\n    	NULL	0\n    
29327	cfechopayform\n    	1.0\n    	NULL	NULL	18.44\n    	NULL	NULL	1\n    	1\n    	NULL	3\n    
29328	spin\n    	1.49\n    	NULL	NULL	50.02\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
29329	soapanywhere\n    	1.0\n    	NULL	NULL	48.99\n    	NULL	NULL	0\n    	0\n    	NULL	15\n    
29330	conntrackviewer\n    	2.04\n    	NULL	NULL	63.61\n    	NULL	NULL	2\n    	2\n    	NULL	13\n    
29335	pysnort\n    	1.0\n    	NULL	NULL	21.84\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29337	qfighter3\n    	1.0\n    	NULL	NULL	13.93\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29340	radeontool\n    	1.0\n    	NULL	NULL	64.93\n    	NULL	NULL	0\n    	0\n    	NULL	7\n    
29341	spgm\n    	6.88\n    	NULL	NULL	139.14\n    	NULL	NULL	3\n    	3\n    	NULL	39\n    
29346	rspell\n    	1.0\n    	NULL	NULL	27.28\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29347	jkiska\n    	2.82\n    	NULL	NULL	89.97\n    	NULL	NULL	0\n    	0\n    	NULL	18\n    
29350	atv\n    	1.47\n    	NULL	NULL	27.5\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29351	oprpm\n    	0.0\n    	NULL	NULL	13.75\n    	NULL	NULL	1\n    	1\n    	NULL	2\n    
29352	cpupatch\n    	1.42\n    	NULL	NULL	53.92\n    	NULL	NULL	4\n    	4\n    	NULL	16\n    
29353	raydium\n    	2.92\n    	NULL	NULL	59.62\n    	NULL	NULL	1\n    	1\n    	NULL	14\n    
29356	printquota\n    	2.79\n    	NULL	NULL	70.56\n    	NULL	NULL	0\n    	1\n    	NULL	12\n    
29358	mmsv2\n    	21.16\n    	NULL	NULL	312.87\n    	NULL	NULL	20\n    	20\n    	NULL	111\n    
29359	metrik\n    	1.41\n    	NULL	NULL	12.53\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29364	bsed\n    	1.0\n    	NULL	NULL	38.92\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29366	metacity\n    	4.37\n    	NULL	NULL	226.23\n    	NULL	NULL	6\n    	12\n    	NULL	29\n    
29368	coldspot\n    	1.41\n    	NULL	NULL	26.91\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29370	opencm\n    	3.61\n    	NULL	NULL	118.84\n    	NULL	NULL	0\n    	0\n    	NULL	32\n    
29374	cfl\n    	4.9\n    	NULL	NULL	134.84\n    	NULL	NULL	0\n    	2\n    	NULL	28\n    
29375	scim\n    	11.84\n    	NULL	NULL	130.63\n    	NULL	NULL	3\n    	3\n    	NULL	23\n    
29376	csv2txt\n    	1.0\n    	NULL	NULL	20.93\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29377	fastcm\n    	1.0\n    	NULL	NULL	12.81\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29378	bmicalc\n    	1.93\n    	NULL	NULL	22.58\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29381	kdsing\n    	1.0\n    	NULL	NULL	31.38\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29383	mairix\n    	7.22\n    	NULL	NULL	185.75\n    	NULL	NULL	10\n    	12\n    	NULL	75\n    
29384	cack\n    	1.41\n    	NULL	NULL	51.78\n    	NULL	NULL	2\n    	2\n    	NULL	6\n    
29385	maildirpop3d\n    	1.63\n    	NULL	NULL	20.49\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29386	pacgen\n    	0.0\n    	NULL	NULL	39.05\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29388	projectpi\n    	4.47\n    	NULL	NULL	139.07\n    	NULL	NULL	3\n    	4\n    	NULL	20\n    
29389	jtag\n    	1.0\n    	NULL	NULL	24.68\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29390	cl\n    	0.0\n    	NULL	NULL	50.04\n    	NULL	NULL	2\n    	2\n    	NULL	7\n    
29392	netspeed_applet\n    	8.45\n    	NULL	NULL	76.32\n    	NULL	NULL	4\n    	4\n    	NULL	27\n    
29393	phpmycms\n    	1.41\n    	NULL	NULL	58.14\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29398	shmux\n    	11.76\n    	NULL	NULL	173.03\n    	NULL	NULL	0\n    	0\n    	NULL	59\n    
29403	papyrus\n    	8.37\n    	NULL	NULL	182.38\n    	NULL	NULL	0\n    	0\n    	NULL	107\n    
29405	apt-build\n    	2.05\n    	NULL	NULL	84.8\n    	NULL	NULL	2\n    	3\n    	NULL	16\n    
29407	libcdaudio\n    	1.61\n    	NULL	NULL	85.93\n    	NULL	NULL	1\n    	1\n    	NULL	12\n    
29410	ccvssh\n    	1.42\n    	NULL	NULL	43.55\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29412	toootchart\n    	1.0\n    	NULL	NULL	14.97\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29414	nmm\n    	5.12\n    	NULL	NULL	219.77\n    	NULL	NULL	2\n    	2\n    	NULL	49\n    
29417	phpa\n    	2.75\n    	NULL	NULL	221.52\n    	NULL	NULL	1\n    	2\n    	NULL	69\n    
29420	bubshoot3\n    	1.48\n    	NULL	NULL	40.44\n    	NULL	NULL	1\n    	1\n    	NULL	4\n    
29423	xmake\n    	1.0\n    	NULL	NULL	35.28\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29431	xml-extractor\n    	1.43\n    	NULL	NULL	60.39\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29434	pop3despam\n    	1.0\n    	NULL	NULL	13.71\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29435	phpdocgen\n    	6.82\n    	NULL	NULL	186.78\n    	NULL	NULL	0\n    	0\n    	NULL	27\n    
29440	okle\n    	2.47\n    	NULL	NULL	68.78\n    	NULL	NULL	3\n    	3\n    	NULL	18\n    
29443	pipemeter\n    	7.68\n    	NULL	NULL	116.96\n    	NULL	NULL	4\n    	4\n    	NULL	44\n    
29444	mftpindex\n    	1.0\n    	NULL	NULL	35.0\n    	NULL	NULL	1\n    	1\n    	NULL	6\n    
29445	amidimap\n    	1.88\n    	NULL	NULL	25.3\n    	NULL	NULL	1\n    	1\n    	NULL	3\n    
29446	shiloshos\n    	1.0\n    	NULL	NULL	57.27\n    	NULL	NULL	0\n    	0\n    	NULL	7\n    
29447	gpgkeys_jkp\n    	1.42\n    	NULL	NULL	59.73\n    	NULL	NULL	0\n    	0\n    	NULL	15\n    
29450	perl-md5-login\n    	2.65\n    	NULL	NULL	80.4\n    	NULL	NULL	0\n    	0\n    	NULL	15\n    
29454	gammp\n    	1.47\n    	NULL	NULL	30.66\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29463	ctkm\n    	1.42\n    	NULL	NULL	45.56\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
29465	astwar\n    	1.0\n    	NULL	NULL	15.68\n    	NULL	NULL	0\n    	1\n    	NULL	1\n    
29474	jwig\n    	1.81\n    	NULL	NULL	38.34\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29476	yaml4r\n    	2.92\n    	NULL	NULL	56.82\n    	NULL	NULL	1\n    	1\n    	NULL	5\n    
29478	proxool\n    	2.71\n    	NULL	NULL	53.37\n    	NULL	NULL	0\n    	0\n    	NULL	15\n    
29479	babeldoc\n    	5.77\n    	NULL	NULL	234.73\n    	NULL	NULL	2\n    	2\n    	NULL	37\n    
29480	phpimspclass\n    	1.0\n    	NULL	NULL	31.59\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29482	jacksum\n    	5.0\n    	NULL	NULL	120.35\n    	NULL	NULL	1\n    	1\n    	NULL	33\n    
29484	tuxpaint\n    	7.79\n    	NULL	NULL	215.85\n    	NULL	NULL	5\n    	5\n    	NULL	51\n    
29485	ivrescue\n    	2.51\n    	NULL	NULL	96.09\n    	NULL	NULL	0\n    	1\n    	NULL	37\n    
29489	login_db\n    	2.59\n    	NULL	NULL	64.58\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29490	mharc\n    	3.41\n    	NULL	NULL	83.14\n    	NULL	NULL	0\n    	0\n    	NULL	17\n    
29493	voip-billing\n    	1.0\n    	NULL	NULL	41.47\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29494	gtivo\n    	2.28\n    	NULL	NULL	78.23\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
29497	phpcollab\n    	0.0\n    	NULL	NULL	70.43\n    	NULL	NULL	12\n    	12\n    	NULL	31\n    
29498	senator\n    	1.41\n    	NULL	NULL	44.43\n    	NULL	NULL	0\n    	0\n    	NULL	13\n    
29499	mcdata\n    	2.56\n    	NULL	NULL	34.03\n    	NULL	NULL	0\n    	1\n    	NULL	5\n    
29502	visuelhexdiff\n    	3.5\n    	NULL	NULL	95.07\n    	NULL	NULL	0\n    	0\n    	NULL	22\n    
29503	rdflib\n    	2.75\n    	NULL	NULL	55.64\n    	NULL	NULL	1\n    	1\n    	NULL	17\n    
29505	lufs\n    	5.59\n    	NULL	NULL	321.29\n    	NULL	NULL	11\n    	11\n    	NULL	130\n    
29506	drs\n    	3.19\n    	NULL	NULL	229.54\n    	NULL	NULL	1\n    	1\n    	NULL	46\n    
29508	lieabed\n    	1.0\n    	NULL	NULL	15.91\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
29509	qtmyadmin\n    	3.04\n    	NULL	NULL	68.89\n    	NULL	NULL	1\n    	1\n    	NULL	20\n    
29511	dailystrips-web\n    	1.0\n    	NULL	NULL	62.43\n    	NULL	NULL	1\n    	1\n    	NULL	8\n    
29513	smm\n    	5.57\n    	NULL	NULL	118.93\n    	NULL	NULL	0\n    	0\n    	NULL	16\n    
29514	yaxed\n    	1.0\n    	NULL	NULL	32.92\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29517	bintrans\n    	1.0\n    	NULL	NULL	30.79\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
29518	qmail-monitor\n    	2.15\n    	NULL	NULL	110.77\n    	NULL	NULL	0\n    	0\n    	NULL	14\n    
29520	kodisein\n    	1.43\n    	NULL	NULL	19.29\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29521	powerterm\n    	1.86\n    	NULL	NULL	51.69\n    	NULL	NULL	0\n    	2\n    	NULL	7\n    
29522	my_string\n    	1.51\n    	NULL	NULL	38.61\n    	NULL	NULL	0\n    	2\n    	NULL	6\n    
29526	canfestivalgui\n    	1.0\n    	NULL	NULL	42.24\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
29531	wswebservicestoolkit\n    	1.55\n    	NULL	NULL	21.33\n    	NULL	NULL	1\n    	1\n    	NULL	6\n    
29532	dyn2stat\n    	1.74\n    	NULL	NULL	67.3\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
29536	pynms\n    	1.0\n    	NULL	NULL	84.68\n    	NULL	NULL	0\n    	0\n    	NULL	9\n    
29537	crawdad\n    	1.0\n    	NULL	NULL	29.5\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29538	rpmrebuild\n    	28.05\n    	NULL	NULL	392.24\n    	NULL	NULL	1\n    	3\n    	NULL	85\n    
29546	sick\n    	1.0\n    	NULL	NULL	33.0\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
29547	jcvscodigo\n    	1.0\n    	NULL	NULL	27.48\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29558	pnm2ppa\n    	1.77\n    	NULL	NULL	21.79\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
29559	weathercheck\n    	2.46\n    	NULL	NULL	37.38\n    	NULL	NULL	0\n    	1\n    	NULL	10\n    
29562	kmencoder\n    	1.74\n    	NULL	NULL	96.64\n    	NULL	NULL	3\n    	4\n    	NULL	19\n    
29563	squidview\n    	23.3\n    	NULL	NULL	168.17\n    	NULL	NULL	1\n    	1\n    	NULL	34\n    
29565	apinger\n    	2.97\n    	NULL	NULL	105.95\n    	NULL	NULL	6\n    	7\n    	NULL	24\n    
29566	ape-testbed\n    	1.86\n    	NULL	NULL	19.03\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29568	xeland\n    	2.77\n    	NULL	NULL	33.62\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
29569	sourcebase\n    	1.41\n    	NULL	NULL	27.53\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
