#  file: sfRawDownloads2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes downloads data for each project. This info 
#  is summed from the daily download data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, sum(downloads) 
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  downloads: the sum of downloads for this 60-day period 
proj_unixname	sum(downloads)
benedetto	8
benedict	0
benefit	2
benel	0
benerator	498
benettris	0
beng	19
bengalikeyboard	0
bengalinux	1783
bengine	0
benjacms	6
benjlib	0
benjo	1
benjoalpha	0
benjoomla	0
benkyou	0
benmail	0
bennet	0
bennu	105
bennugd	0
benny	0
benojt	62
benproject	0
benscript	15
bensimpblog	0
bensmumssaturda	0
benson	6
bensonwang2	0
bensphpbbcms	2
benspicgallery	100
benstep	5
bent	0
bentfx	0
benthic	1
bento4	306
bentobox	0
bentodev	1
benum	0
benv	0
benwaregps	0
benzine	0
benzo	69
beo	0
beobachter	100
beontime	0
beos-idedriver	2
beosdeved	39
beosimkit	0
beospppoe	9
beotia	0
beowulf	0
beowulf-cenat	0
beowulf-rpg	0
beowulfcluster	21
beozip	16
beozipuserman	3
bepdf	340
bepenguins	0
beplot	0
bepro	3
beq	0
ber	27
beraber	0
beradiant	0
bercikonem	0
bercodec	30
berdp	11
beredit	0
beremiz	0
berenice	9
beretta	0
berezka	0
berg	0
bergamo	0
bergamote	0
bergenblink	0
bergertom	8
berichtex	4
beride	0
berimbautab	1
bering	0
berkano	0
berkeleyaligner	0
berkeleydbtools	0
berkeleymapper	0
berkewipe	10
berlin	19
berlinifyer	3
berna-http	0
bernardinis	0
bernardo	3
berniesquest	0
bernzspaces	0
berolinux	2
berri-pzed-care	0
berry	5
berry-a-code	0
berryirc	0
berryos	508
berryreader	0
berryspeedy	36
bersekerengine	4
berserk	3
berserk-rpg	0
berserkrl	3
bersim	0
bert	0
bertha	3
berts	0
berusky	20
berusky1	1
bes	4
besbox	0
besc	108
bescfilecleaner	0
bescheduler	0
besd	0
besh	0
beship	35
besit	0
besm6	0
bespamfilter	1
bespoke	0
bespp	30
bess	0
bessy	0
best	12
best75	0
bestalternative	0
bestats	1
bestbb	0
bestbooks	209
bestcms	0
bestcomm	0
bestcs554	0
bestellsystem	1
bestfriend	0
bestgui	19
bestjavaprogram	0
bestlyrics	0
bestmediaplayer	0
bestoffice	99
bestofirc	0
bestory	0
bestpractice	13386
bestqmc	9
besttest	0
besttoplist	45
bet	0
beta-world	14
betadecay	0
betaftpd	20
betahydri	0
betamaxsms	0
betapad	13
betaras	0
betashare	0
betasigncontrol	15
betastrike	0
betaverse	0
betaworld	0
betel	0
betelgeuse	5
betfeather	0
betforwin	34
bethanyauctions	0
bethelite	3
bethewumpus	0
bethink	0
betk	0
betl	0
betle	0
betme	0
betoinvaders	1
betran	0
betrayer	2
betris	4
betset	0
betshop4j	0
betsie	79
betster	77
betsystem	0
better	0
better-eventcal	18
better-msn	38
better-ns2-anim	32
better-xboards	2
betterec	69
betteredu	0
betterjeditor	0
betterjs	0
betterlayers	0
bettermonitor	0
bettermud	0
betterping	0
betterref	3
betterthings2do	0
betting	52
bettingforever	14
bettingoffice	0
bettingsystem	11
betty	45
betty-engine	0
betula	0
betvout	0
between-rpg	5
bety	24
beurregb	0
beuseful	1
beusmotd	25
bevdatabase1	0
beventsd	0
bevy	0
bewegung	3
bewerberdb	0
bework	0
bewos	0
bewym	0
bexe	0
bexeeext	0
beyondos	0
beyondproject	0
beyondsky	0
bezcruvcreator	18
bezdemo	41
bf2autoloader	30
bf2phpadmin	16
bf2sc	1
bf2spectator	0
bfacs	166
bfantasy	0
bfast	0
bfastclub	0
bfasterisk	0
bfat	0
bfbtester	136
bfc	0
bfcompiler	1
bfconversion	0
bfd	0
bfd-mud	2
bfd-server	0
bfdarkside	0
bfdd	11
bfdev	0
bfdl	0
bfegler	40
bfexplorer	285
bfexplorerlite	0
bfg	0
bfh	0
bfhelp	0
bfhi	0
bfi	0
bfi-toolkit	9
bfide	0
bfiew	0
bfin-test-proj	173
bfint	0
bfinterpreter	1
bfit	0
bfk	5474
bfl	4
bflow	69
bflowtoolbox	736
bfly	0
bfmedia	0
bfmp	7
bfms	0
bfncodesam	0
bfootball	0
bfos	0
bfox	0
bfpx	0
bfr	27
bframe	0
bfrcg	13
bfre	4
bfrmlogparser	2
bfrt	48
bfruit	224
bfs	0
bfs2pack	43
bfserverstats	2
bfshapefiles	35
bfsil	0
bfskinner	0
bfsms	82
bfstatslogtrim	2
bfstudio	0
bftp	0
bftpd	1046
bfts-enforcer	1
bfu	11
bfv89ru	4
bfware	0
bfwep	0
bg-identifiers	0
bgb-game-eng	8
bgb-sys	4
bgbible	4
bgbuddy	15
bgbuntu	0
bgchanger	139
bgclass	1
bgclone	0
bgcms	0
bgcreator	0
bge	0
bgecco	0
bgedu	0
bgengdictionary	22
bgep	0
bgetty	0
bgf	0
bggb	9
bggextstats	0
bgi-codes	0
bgl	7
bglfm	0
bglib	2
bglimiter	0
bglt	13
bgm-devel	2
bgmedline	0
bgmozilla	634
bgoffice	1319
bgooglemap	0
bgp	19
bgp-moas-list	1
bgp-stress-test	0
bgpacld	12
bgpanalyzer	20
bgpd	36
bgphoto	1
bgprot	0
bgpstat	0
bgptesttool	11
bgpwatch	10
bgroupware	0
bgs	11
bgsc	0
bgssj	17
bgt	0
bgtalk	0
bgts-ssc	11
bgvs	1
bgzip	0
bh-helpcenter	0
bh-organizer	9
bh3d	1
bharatsahitya	0
bhausen	0
bhcintranet	228
bhdz-lib	0
bhhcquidditch	0
bhminiboard	0
bho	0
bhojpuri	0
bhotester	3
bhpbbs	0
bhpc-simulator	0
bhpro	0
bhpstool	0
bhrpul	2
bhsuite	0
bhtproject	0
bhttp	17
bhttpd	0
bhttpmail	373
bhtv-docs	0
bhul	0
bhvajax	0
bhwindow	2
bi-dir-pim	0
bi4dba	0
bi4sftp	9
biac	0
biamove	0
bian	6
bianda	0
bianlian	0
biaroza	33
bias	630
biasbot	0
biased	21
biasviz	3
biatchux	1614
biatsh	0
biax	0
bib-it	320
bib-processcard	5
bib-tech	0
bib2db5	15
bib2html	69
bib2web	0
bibagent	0
bibbase	0
bibber	0
bibciter	32
bibcollect	3
bibcursed	21
bibdb	0
bibdesk	12167
bibedt	391
bibeln	0
bibelot	56
biber	6
bibforjava	3
bibfuse	0
bibi	86
bibit	0
biblatex	0
biblecal	0
biblechronology	0
biblecodes	0
biblecs	0
bibledave	52
bibledb	0
bibledesktop	0
bibledit	0
biblememorizer	137
biblengram	7
biblenotes	17
bibleonline	0
bibleprojector	0
bibleref	0
biblesearch	0
biblestudy	20
biblestudytool	10
biblesuper	75
bibletime	1177
bibletools	8
bibletrivia	2
bibleview	0
biblia	10
biblia-aml	0
bibliadigital	687
bibliasacra	0
biblic	0
biblicaldebates	0
biblilibre	0
biblio	0
bibliocaseira	0
bibliocode	0
bibliograph	15
bibliolinex	0
biblioman	0
bibliomanager	0
bibliomori	0
biblion	0
bibliop2p	0
bibliopedia	0
bibliophile	74
bibliophp	0
bibliophylax	0
bibliosearch	0
biblioserve	0
bibliosview	0
bibliosynthesis	10
bibliosys	0
biblioteca	16
bibliotecalivre	0
bibliotecaon-li	0
bibliotecavirtu	0
biblioteka	0
biblioteq	695
bibliotheque	0
bibliov	0
bibliovts	0
biblook	3
biblos	0
biblos-project	0
biblospk	3
biblox	0
bibmgr	64
bibnova	0
bibom	7
bibot	11
bibpad	0
bibregexparser	0
bibro	9
bibs	12
bibs-crea-mapeo	2
bibsearch	11
bibsis	0
bibsite	18
bibtex2html	0
bibtex2rdf	1
bibtexbrowser	0
bibtexlib	0
bibtexlipse	0
bibtexml	253
bibtexparser	0
bibtool	10
bibtoonto	2
biburu	0
bibus-biblio	4411
bibwiki	114
bibworm	15
bibxmleditor	0
bicho-comvida	0
bicicleta	0
bicluster	0
bicms	0
bico	2
bicomp	8
bicq	26
bics	13
bicyclerepair	115
bid	9
bidbahn	0
bidding	0
bide	0
bideuchre	117
bidex	1
bidiblast	0
biditex	14
bidnobble	38
bidone	0
bidprent-is	0
bidu-hash	0
bidule	0
bidwatcher	386
bie-gpl	89
biedera	0
bieditor	0
biege	24
biemes	0
bier	5
bier-gewinnt	5
bierbeurs	0
bierbrauer	0
biertjuh	0
biew	3603
biferno	0
biff	9
biffapi	0
biffles	13
bifftray	0
bifi	0
bifrost	0
bifrost-oodbms	0
bifrostproj	0
bifurcation	0
big	33
big-brother	17
big-o-space	42
big-wing	0
big3dsol	10204
bigaccoxx	0
bigal	490
bigantimmesseng	0
bigarithmetic	3
bigback	0
bigbb	0
bigbearversion1	0
bigben	20
bigbensbigblack	0
bigbird	2
bigbizviz	0
bigblogzoo	25
bigblue	2
bigboard	0
bigbooke	3
bigboos	22
bigboy2	0
bigbro	0
bigbrotherbot	143
bigbrowser	0
bigbug	0
bigcacheide	0
bigcalc	7
bigclock	0
bigdata	83
bigdaw	0
bigdesk	30
bigdig	0
bigdiscdb	0
bigdouble	0
bigel	0
bigfaces	0
bigfilesharing	69
bigfish	24
bigforth	591
biggestblue	0
biggles	449
biggou	0
biggrid	0
bighi-reader	0
bigint	14
bigint-dl	32
bigintbench	0
bigiron	2
bigleaf	0
bigloo-cudd	0
bigloo-lib	25
bigloo4windows	92
biglux	2
bigmailer	10
bigmarvmoviedb	0
bigmonetario	0
bignet	0
bignum	22
bignumber	0
bignumbers	0
bignums	2
bigorangebttns	0
bigorrilho	0
bigpimpin	0
bigplay	19
bigpress	0
bigram-apps	0
bigrcms	2
bigredbin	0
bigs	0
bigshop	0
bigsifes	45
bigsister	2340
bigsolitaire	223
bigsplash	6
bigsquirrel	0
bigssolitaire	0
bigstreet	962
bigtable	0
bigtext	0
bigtextreader	0
bigtrick	0
bigtunes	0
bigtwo	5
bigtwo-gg	206
bigtwo-palmos	139
bigyo	7
bigzip	324
biik	2
biise	0
bijansdr	0
bijsapi	0
bijtelling	0
bijunsknightsto	0
bik	0
bik-designer	0
bika	802
bike-server	0
bike4lin	0
bikeclubweb	0
bikedistlog	1
bikepatrol	0
bikepower	0
bikerbastard	2
bikestats	0
biketree	0
bikini	0
bikini-iii	0
bikini-mstore	0
biko	0
bikspec	0
bilans	39
bilarm	0
bilauktion	0
bilbo	0
bilbotrack	0
bilding	1
bildverarbeitun	0
bili	18
bilie-e-birilli	0
bilingual	0
bill	0
bill-tracker	0
bill4voip	0
billard-manager	0
billardgl	10628
billboard	9
billbook	3
billcalc	4
billfrog	0
billi	0
billiardsnine	0
billing	28
billing-nexus	0
billing-service	0
billingapptally	0
billingd	0
billingiagl	0
billinglive	0
billingproject	0
billingsoftware	0
billingwarnet	0
billionhandhist	0
billit	0
billix	1190
billmaker	660
billman	0
billmate	3
billmin	0
billofmaterials	0
billparser	0
billpayments	0
billr	0
billstracker	17
billthru-lib	1
billtracker	0
billutil	1
billy	7
billy-hard	0
billyards	0
billybot	0
billygoat	0
billzilla	0
biloba	60
bilread	0
bim	0
bim-im	35
bimbam	0
bimber	0
bimbo	0
bimbosynk	0
bimbrowse	21
biml	6
bimmerjack	0
bimmermedia	0
bimori	0
bimos	0
bimp	0
bims	0
bimserver	23
bin-clock	0
bin-clock-face	5
bin2bmp	11
bin2cpp	22
bin2obj	0
bin2uue	0
bin2xml	0
bina	5
binaclock	0
binar	0
binarius	0
binars	3
binarx	1
binary	0
binary-ape	57
binary-becky	9
binary-clock	67
binary2ip	0
binaryclock	119
binarycloud	10
binaryconsolle	0
binarydistilati	0
binarydom	0
binaryeditor	69
binaryfinary	0
binarynews	0
binarypatch	4
binaryphp	193
binarypix	5
binarysurfextjs	0
binarytux	0
binaural	4
binbase	40
binbo	0
binclock	12
bincmp	4
bincomerge	42
binconv	31
bind-dlz	233
bind-mrtg	0
bind-pe	0
bind-rebuild	0
bind-secondary	0
bind2nsd	4
bind4j	0
bind9-adm	0
bind9admin	0
bindas	0
bindbender	0
bindbg	5
binddata2ui	2
bindenlicht	48
binder	0
binders-arena	0
bindiff	5
bindinator	13
binding	0
bindlet	0
bindmaker	919
bindme	173
bindmin	0
bindrrd	8
bindump	22
bindwatchd	0
bindx0r	0
binedit	2
bineditor	9
bing	0
binge	4
bingle	0
bingo	18
bingo-cards	147
bingoadminutil	2
bingobuilder	9
bingocallsystem	28
bingocardmaker	42
bingocms	0
bingogo	0
bingoit	0
bingonline	0
bingoo	0
bingoware	379
bingox	4
bingrep	6
bingrok	0
bings	0
binhgiang	639
bini	0
binimage	3
biniou	0
binja	0
bink4j	0
binkforce	10
binkleyforce	7
binky	9
binmami	0
binman	5
binml	1
binocle	26
binoox	0
binpack	28
binpacker	0
binpacking	61
binpayload	0
binpost	74
binrevengine	0
bintoo	187
binverse	0
binviz	58
binwall	0
binwebnews	0
binxml	3
binxml2	0
bio	0
bio-bat	1
bio-camera	3
bio-cpp	0
bio-db	0
bio-info	0
bio-metabolic	3
bio-mview	36
bio-papi	0
bio-parse-swiss	1
bio-summarize	0
bio-util	0
bio-wormbase	0
bio2go	0
bio7	154
bioacc	0
bioacre	0
bioagents	0
bioapi	0
bioauth	0
biobase	2
biobox	1
biobrowser	0
biobuilder	0
biocartridge	0
biocentrica	0
biochaos	0
biocity	2
bioclipse	1122
biocm	0
biocommon	0
biocomputing	0
biocorpus	0
biocpp	3
biocreative	89
biocs	0
biocsharp	12
biodat	0
biodatadisplay	0
biodataserver	6
biodivdp	4
biodivmap	14
biodom	8
biodotnet	0
biodwh	22
bioengine	0
bioequo	0
bioera	36
bioeval	0
bioface	14
bioflash	0
bioflex	0
biofloweb	0
biogb	0
biogenesis	948
biogeomancer	0
biogeotools	3
biogranat	0
biograph	19
biographnet	5
biogrid	1
biogrinder	0
biohack	180
biohub	0
bioimagexd	556
bioinformants	0
bioinformatics	0
bioinformer	7
bioinforread	0
bioinfoserv	0
bioinfotracker	0
bioinstitute	0
biojade	0
biojee	0
biolap	12
biolayout3d	0
bioleiro	0
biolet	0
biolib	0
biolingua	0
biolit	0
biologicalmodel	4
biologicstylus	0
bioloidapi	0
bioloidcontrol	114
biom	0
biom-cpp	0
bioma	7
biomail	326
biomaj	0
biomanta	0
biomas	0
biomashup	0
biomasstoliquid	0
biome	15
biomedernet2008	0
biomedsim	0
biometricsdk	555
biometricssecur	0
biometrixlib	0
biomist	0
biomobius	0
biomodels	4
biomonsys	0
biomusic	0
bion	19
bionanny	2
bionet	11
bionetwork	0
bionexus	0
bionic	0
bionicbots	1
bionlp	0
bionlp-corpora	37
bionlp-uima	30
bionotate	7
bionote	1
biooperon	0
bioorganizer	0
biopackages	0
biopass	0
biopax	147
biopod	0
bioport	0
bioportal	0
biopost	0
biopostgres	4
biopro	1
biopsytoolbox	56
biopy-apps	0
biopylife	0
biopythongui	0
bioquest	0
biorbit	115
biorhythm	129
biorhythmview	6
biorithms	0
bios	0
bios-lt	85
bios-tagger	18
biosap	1
bioscala	0
bioscape	0
bioschemas	16
bioscholar	0
biosconfig	8
bioscrypt-sdk	39
biosfont	0
biosgrid	0
biosharp	0
biosimz	0
biosis	0
biosketch	5
biosoft	0
biospha	2
biosphere	10
biosphere3d	0
biospice	72
biosqueak	0
biostream	0
biosunms	26
bioswriter	81
biosys	0
biosysplus	0
biotcl	0
biotechcoachin	0
biotext	0
biotl	0
biotogo	0
biotope	0
biotr	2
biotrix	0
biounzip	4
bioupdates	0
bioutils	0
bioviewer	137
biovis	0
bioviz	0
biowarfare	0
biowebauth	138
bioweka	110
biox	0
bioxtasraw	21
bip	0
bip-2006	64
bips	0
birat	0
birbal	0
birbu	0
birc	0
birch	14
birchcalc	0
birchfs	0
bircwindow	0
bird	0
bird-net	0
bird-park	92
birdblog	73
birdbreedbrowse	0
birdchat	249
birdclassifier	8
birdfeeder	0
birdhunter	0
birdiecron	0
birdinfotracker	0
birdlogger	0
birdmaster	0
birdpix	0
birdseye	0
birdspot	0
birdweights	10
birdy	354
birem	0
birjidev	0
birmail	38
birmi	7
birne	24
birotech	0
birt-opc-oda	0
birthdates	0
birthday	6
birthdaytrackin	0
birujiup	0
bis	7
bis-grid	0
biscalc	0
biscuitlog	0
biscuits	0
bisdk	4
bisdk-ee	0
bisekt	0
bisf	5
bisfhkn	0
bish	0
bishop	1
bisip	0
bisker	6
biskit	60
bislama	0
bisli	0
bismk	0
bisna	0
bison-box	0
bison-eclipse	0
bisoncpp	47
bisonj	0
bisquest	7
bisquillagen	7
bisrulz	5
bisteca	0
bistro	47
bistro-os	0
bisysteminfo	150
bit	0
bit-breaker	0
bit-c	1
bit-scavenger	3
bit-text	3
bit-torrent	9030
bit5blog	36
bitacora	0
bitagest	0
bitartmanager	4
bitb	0
bitbang	0
bitbashers	2
bitbee	0
bitblade	0
bitbox	0
bitbucket	0
bitburro	0
bitcalendar	6
bitchburn	3
bitchinshooter	0
bitchshifter	0
bitchun	8
bitchx	297
bitchz	0
bitcollider	2094
bitcomp	6
bitcondenser	0
bitcoop	15
bitcruncher	2
bitdamaged	26
bitdb	0
bitdebugger	1
bitdefense	0
bitdig	0
bitdump	0
bitdumpx	0
bite	9
bite-id3	1
bitext	232
bitext2tmx	288
bitfire	24
bitfox	0
bitgest	0
bitgravec	0
bithull	10
bithundler	1
bitint-multipre	2
bitknight	0
bitleaf	0
bitleech	0
bitlib	0
bitlife	126
bitlog	0
bitm	0
bitmagnet	0
bitmail	0
bitmailer	19
bitmanip	0
bitmapfont	118
bitmapgauger	17
bitmapgenerator	0
bitmaptohtml	5
bitme	0
bitmeta	77
bitmeter	0
bitmix	0
bitnets	7
bitonio	0
bitos	7
bitpack	0
bitphyr	0
bitpim	137498
bitplayer	51
bitrate	0
bitreat	0
bitreen	0
bitreflexds	0
bitrocket	0
bits	1
bits-a-gogo	4
bits-messenger	1
bitsdb	0
bitsdelphicompo	0
bitset	4
bitshift	0
bitsj	0
bitslap	0
bitslug	78
bitsmart	0
bitsonar	0
bitsort	0
bitsteamer	0
bitstorm	0
bitstreamout	104
bitstronger	29
bitstuffing	2
bitsupload	0
bitsurge	0
bitswarm	0
bitswash	214
bitswitcher	2602
bittasker	0
bitten	30
bitterbpp	30
bittersweet	0
bittext	0
bittime	0
bittorment	0
bittorrent	13964
bittorrent-2	0
bittorrent4j	40
bittorrentdotne	0
bittorrentjxta	0
bittorrentnet	3
bittrackercms	16
bittrawler	0
bittwist	905
bitvector4j	0
bitvisor	522
bitvortex	3
bitwave	0
bitweaver	1489
bitwm	2
bitxeem	0
bitxml	26
bitxml-dotnet	4
bitxml-java	7
bitxml-m2m	21
bitz-commons	0
bitz80	8
biucentraxmc	0
biur	10
biv	0
biwebext	0
bix	25
bixchange	1
biz-3xplorer	29
biz-chart	0
bizarrename	0
bizblox	29
bizboxhandler	0
bizcal	144
bizcal4j	0
bizchat	0
bizcom	356
bizcommerce	0
bizdevelop	0
bizdoc	0
bizforge	7
bizforms	0
bizguide	22
biziweb	0
bizkit	43
bizmda	0
biznavi	0
bizpbxmanager	0
bizplizit	16
bizsim	0
bizsnake	0
bizsutra	0
biztalkutils	0
bizter	0
biztools	5
biztycoon	0
bizume	10
bizworks	0
bizwrite	0
bizzmathsuite	28
bjaid	0
bjanalyst	32
bjava	0
bjavadoctool	5
bjbr	0
bjc250gs	126
bjgenie	0
bjgl	1
bjitmasudul	0
bjj	336
bjlib	7
bjorneportal	3
bjpro	41
bjps	0
bjs	510
bjs2	14
bjseek	0
bjsim	5
bjtag	0
bjtj	0
bjx	0
bjy2unc	23
bk-terak-emu	25
bk02	0
bk2site	45
bkao	0
bkcms	0
bkernel	0
bkerp	0
bkf	0
bkgateway	0
bking	0
bkit	0
bkjsoft	0
bkk-bus-routes	83
bkm	1158
bkmd	4
bkmkcmdr	0
bkmrk2dlcs	9
bkp	0
bkps	0
bkptempus	0
bkptomail	0
bkptowin	1
bktr	0
bkunix	12
bkupcj	3
bkwww	0
bkxdr	0
bl0rp	6
bl14	0
bla	0
bla-bla	0
blaa	0
blaatcast	0
blabberbox	0
blabla	5
blablel	0
blachatclient	34
black	0
black-box	2
black-hole-mta	0
black-jack-room	6
black-out	0
black-paralysis	12
black-visi	11
black33	40
blackbadger	1
blackballed	48
blackballed-cms	0
blackbear	0
blackbeard	0
blackbeardfs	0
blackbeardpm	0
blackberrygpsna	0
blackberrysugar	0
blackberrytools	11061
blackbird	0
blackboard	1
blackbook	5
blackbox	13
blackbox-oecp	0
blackboxdb	0
blackboxdotneta	33
blackboxmaster	29
blackboxptf	0
blackboxwm	1329
blackburst3d	0
blackcatcms	0
blackcd	0
blackcell6	0
blackchameleon	0
blackchat	271
blackcow	4
blackcrystal	0
blackdawn	0
blackdemu	0
blackdog	35
blackdog-types	0
blackdogbatchbu	0
blackdome	0
blackenfall	0
blackfinger	2
blackfish	0
blackfoot	0
blackfoxom	1
blackhack	3
blackheath	0
blackhol	0
blackhole	0
blackholegadget	20
blackholespam	12
blackhorn	0
blackice	0
blackicegame	0
blackink	0
blackjack	46
blackjack-by-kj	276
blackjackanalyz	0
blackjackcs2511	0
blackjackengine	0
blackjackoop-gr	0
blackjackserial	0
blackjacksim	0
blackjackup	0
blacklabauth	0
blacklegacy	317
blackleopardeng	2
blacklight	48
blacklists	0
blacklite	1
blackmagic	0
blackmamba3d	1
blackmarket	10
blackmedia	57
blackmoon2	0
blackmp3	73
blacknightchess	136
blacknova	1003
blackorbit	7
blackos	0
blackoutmanager	0
blackowl	230
blackparade	0
blackpaw	0
blackpearl	0
blackpride	0
blackrain-sc3	207
blackrainrpg	0
blackray	0
blackscreen	9
blacksee	0
blackshare	0
blacksheep	90
blacksim	5
blacksmith-ids	0
blacksms	0
blackstone	0
blacksun	216
blacktemple-sd2	0
blackthorn	0
blacktorrent	9
blacktos	0
blacktulip	0
blackwebstore	0
blackwidow	0
blackwing	12
blackwm	0
blackword	374
blad-tools	0
blade	185
blade-editor	0
blade-pc	0
blade-ui	1
blademaster2	9
bladeprog	0
bladerunn	0
bladetekgaming	0
bladeware-vxml	91
bladon	0
blag	10
blah	14
blah-security	0
blahlib	6
blahtex	0
blahzdns	88
blair-rich	0
blairos	2
blaise	49
blaise-cc	0
blaisefire	0
blam	0
blame	330
blammo	0
blanc	0
blancebot	0
blanco	0
blango	0
blanker	7
blanket	0
blankwhitecards	0
blapp	29
blare	0
blarghpad	8
blasm	0
blassic	1
blast	0
blast2d	0
blastbeat	0
blastdocs	8
blaster	3
blasterclientv4	0
blasteroids	7
blasterscan	46
blastfm	0
blastfrompast	0
blastgame	0
blastgres	4
blasthttpd	0
blasthub	0
blastic	0
blastirc	0
blastondb	0
blastor	4
blastserv	0
blastwave	122
blastworthy	0
blat	14467
blatmat	18
blattsalat	0
blau	3
blava	0
blax	74
blaxxunsecurity	7
blayers	0
blaze	0
blazeapps	13
blazeboard	42
blazeengine	0
blazefilesearch	0
blazegame	7
blazegraph	25
blazelist	0
blazeos	0
blazer	0
blazer-player	0
blazerdb	0
blazescript	0
blazesim	0
blazingtable	0
blazon	0
blazter	0
blazze	40
blc51	0
bldgcomposer	6
blding-parsers	1
bldp	12
bldrevlabeller	0
bldrpal	0
bleachsaviors	0
bled	0
bledniicms	0
bleepie	0
bleetz	19
bleezer	0
bleizi	1
blend	1
blender	0
blender-xna-ppi	0
blender4nc	3
blenderavc	0
blenderbeginner	0
blenderchess	0
blenderdb	0
blendereduc	0
blenderes	18
blenderextrainz	200
blendergirl	0
blenderlipsynch	0
blenderobjex	11
blendutil	45
blenz	0
bless	2
bless-kefeilu	0
bletaco	0
blexisma2	1
blflibrary	6
bli	0
blibjavascript	0
bliczart	0
blight	42
blijf	4
blik	0
bliki	0
bliki-on-rails	0
blimp	0
blimpduino	0
blindberry	0
blindboy	0
blindbuilder	0
blindcore	0
blindeye	1
blindeyes	5
blindfriendly	0
blindmanager	24
blindmapmakers	0
blindsiren	0
blindsnake	2
blindtest	0
blingbling	0
blingd	2
blingmeter	0
blink	0
blinkenapplet	38
blinkenled	0
blinkenlights	5
blinkensisters	201
blinkflash	43
blinkk	0
blinkos	3
blinksync	44
blinkwalla	1
blinky	33
blinzel	0
blip	3
blipdriver	0
blippy	0
blis	8
bliss	1
bliss-scanner	3
blissemu	0
blissqub	0
blister	25
blitpixie	37
blitz-templates	271
blitz6	0
blitzabremake	0
blitzball	0
blitzcodes	5
blitzdirect	19
blitzed	0
blitzedit	42
blitzer	7
blitzgame	0
blitzmaxgtk	2
blitzmessenger	0
blitzmodeller	4
blitznet	6
blitzro	19
blitztank	0
blitztest	2
blitzwave	84
blix	30
blixem	0
blizzaga	2
blizzmwf	0
blkdevbench	0
blkmror	17
blm	5
blm-competence	4
blmequip	0
blnotifier	0
blo	0
bloaspower	0
bloat	169
bloatedtostring	0
blob	107
blob-blog	5
blobblog	0
blobblogsystem	81
blobbyvolley3d	50
blobfish	0
blobinside	0
blobit	4
blobjournal	1
blobkombat	0
blobmanager	11
blobnet	0
bloboats	0
blobsy	115
bloccopc	0
block-fs	0
block-marking	0
blockart	0
blockattack	2180
blockbadwords	0
blockbuster	19
blockcast	0
blockcopy	7
blockcrush	3
blockdrop	0
blockdropattack	0
blockdropper	2
blocked	0
blockedfilesd	0
blockflood	0
blockfs	0
blockhttps	10
blockingmapforj	17
blockmason	9
blockmenu	5
blockml	0
blockmovelib	0
blocko	0
blockout	1464
blockparty	38
blockpost	103
blockprint	0
blockprograming	0
blockrage	104
blocks	8
blocks-game	82
blocks-language	19
blocks-mobile	0
blocksmadness	0
blocksmtp	2
blocksolve	0
blocksshd	114
blockstacker	0
blocktality	322
blockwork	0
blocs	0
blocxx	0
blod	0
blog	0
blog-3e	0
blog-creative	0
blog-ease	0
blog-java	204
blog-machine	0
blog-php	0
blog-txt	18
blog-writer	0
blog42	0
blog52	4
blogable	0
blogalia	8
blogamp	0
blogator-script	10
blogauthor	0
blogbackup	0
blogbasher	1
blogbb	0
blogbot	0
blogbotrss	36
blogbox	0
blogbridge	94
blogbucket	0
blogbuddies	5
blogbuddy	74
blogbyxml	0
blogcaster	17
blogcfc	3
blogcms	956
blogconverter	0
blogdownloader	6
blogeame	0
blogentis	0
blogerdotnet	0
blogexporter	8
blogext	0
blogfish	194
blogforbusiness	0
blogforuyou	0
blogfos	0
blogfs	0
blogger-fa	0
blogger-lite	6
bloggerapibot	0
bloggerarchiver	16
bloggerman	0
bloggertool360	0
bloggertools	1
bloggerval	4
bloggervalley	0
blogginglib	9
bloggingtips	0
bloggr	0
bloggrabber	0
bloggurulinux	0
bloggy	0
blogharvest	0
bloghub	0
blogi	0
blogic	0
blogience	0
blogin	0
blogit	0
blogkit	0
blogkitproject	0
blogknight	0
bloglens	0
bloglinesmailer	0
bloglinker	0
bloglite	1
blogmail	6
blogman	12
blogmanager	0
blogmate	11
blogmatrix	164
blogmockup	0
blognet	0
blognix	7
blognu	1
blogologic	0
blogometro	0
blogoommer	13
blogopia	0
blogora	24
blogorola-tb	0
blogoscope	0
blogphp	0
blogphpscript	178
blogpics	0
blogping	49
blogpingr	11
blogpoint	0
blogpolis	0
blogpress	0
blogprober	0
blogprog	0
blograp	0
blogreader	18
blogscene	0
blogschapines	12
